Precinct	total_votes	votes|Marty Quinn
13001	209	209
13002	243	243
13003	122	122
13004	270	270
13005	241	241
13006	246	246
13007	168	168
13008	171	171
13009	175	175
13010	234	234
13011	269	269
13012	168	168
13013	208	208
13014	197	197
13015	307	307
13016	139	139
13017	204	204
13018	189	189
13019	199	199
13020	146	146
13021	286	286
13022	241	241
13023	135	135
13024	192	192
13025	214	214
13026	245	245
13027	196	196
13028	159	159
13029	166	166
13030	139	139
13031	236	236
13032	224	224
13033	210	210
13034	250	250
13035	192	192
13036	121	121
13037	248	248
13038	217	217
13039	213	213
13040	177	177
13041	206	206
13042	243	243
13043	247	247
13044	342	342
13045	249	249
13046	214	214
13047	191	191
13048	206	206
