Precinct	total_votes	votes|Willie Ray, Jr.	votes|Andre Smith	votes|Willie B. Cochran	votes|Kevin Bailey	votes|Ernest Radcliffe, Jr.
20001	175	14	13	84	41	23
20002	99	11	15	37	32	4
20003	168	6	23	96	34	9
20004	82	9	15	29	26	3
20005	214	29	15	113	34	23
20006	91	11	5	44	25	6
20007	163	11	50	56	39	7
20008	227	17	19	143	30	18
20009	272	45	13	159	30	25
20010	160	12	30	86	19	13
20011	249	17	66	99	59	8
20012	116	11	39	44	20	2
20013	227	36	25	114	46	6
20014	164	32	23	77	23	9
20015	130	17	17	50	39	7
20016	250	36	29	142	30	13
20017	124	12	23	34	51	4
20018	166	22	14	71	34	25
20019	216	14	55	94	40	13
20020	114	18	20	44	31	1
20021	155	13	35	59	47	1
20022	288	25	20	161	63	19
20023	241	17	49	133	35	7
20024	207	19	32	99	29	28
20025	186	10	21	85	68	2
20026	229	19	27	117	47	19
20027	135	16	12	60	42	5
20028	162	21	50	55	29	7
20029	281	25	27	167	57	5
20030	105	8	18	52	20	7
20031	215	31	57	92	26	9
20032	209	19	35	94	58	3
20033	130	11	24	66	19	10
20034	252	8	37	136	44	27
20035	134	15	51	48	13	7
20036	78	5	12	40	20	1
20037	77	6	11	41	15	4
20038	86	17	8	24	35	2
20039	37	7	3	4	15	8
