Precinct	total_votes	votes|Ed Hershey	votes|Daniel ''Danny'' Solis	votes|Jorge Mujica	votes|Roberto ''Beto'' Montano	votes|Byron Sigcho
25001	233	23	100	34	32	44
25002	243	13	90	55	38	47
25003	190	23	101	20	15	31
25004	183	9	109	5	10	50
25005	240	22	100	40	30	48
25006	105	6	81	1	3	14
25007	263	11	97	58	28	69
25008	261	24	109	36	44	48
25009	276	20	124	30	36	66
25010	166	16	102	9	13	26
25011	271	16	86	62	34	73
25012	244	19	92	39	33	61
25013	274	30	120	26	19	79
25014	181	12	131	8	19	11
25015	263	13	162	37	15	36
25016	159	35	79	0	15	30
25017	289	25	132	39	39	54
25018	292	12	220	8	12	40
25019	268	17	106	50	27	68
25020	186	17	143	2	20	4
25021	236	29	156	11	23	17
25022	250	30	103	43	25	49
25023	295	12	117	58	28	80
25024	263	12	100	56	23	72
25025	252	21	189	10	17	15
25026	263	33	109	39	29	53
25027	158	26	89	13	11	19
25028	270	15	105	54	36	60
25029	246	16	186	9	22	13
25030	236	23	116	33	28	36
25031	171	20	110	4	12	25
25032	236	14	147	18	12	45
