Precinct	total_votes	votes|Stephen Niketopoulos	votes|Bita Buenrostro	votes|Brian Hopkins	votes|Alyx S. Pattison	votes|Cornell Wilson	votes|Stacey Pfingsten
02001	182	48	26	47	44	5	12
02002	237	5	18	118	64	20	12
02003	184	56	15	27	53	13	20
02004	201	82	25	19	35	17	23
02005	191	40	45	34	42	12	18
02006	188	29	22	66	37	17	17
02007	185	29	27	49	43	19	18
02008	187	43	17	58	34	15	20
02009	163	19	16	51	48	17	12
02010	247	9	10	152	57	11	8
02011	270	5	10	163	67	16	9
02012	238	29	61	45	42	45	16
02013	317	14	19	131	104	21	28
02014	286	154	24	29	47	10	22
02015	194	36	25	32	53	10	38
02016	155	40	20	31	40	14	10
02017	297	99	73	39	46	12	28
02018	227	11	16	99	62	18	21
02019	238	4	18	132	56	10	18
02020	152	13	9	21	50	7	52
02021	224	106	19	33	31	9	26
02022	270	20	29	69	67	9	76
02023	232	7	7	76	108	11	23
02024	192	22	25	27	52	12	54
02025	187	43	19	31	64	9	21
02026	196	14	33	41	36	20	52
02027	219	6	80	47	47	21	18
02028	234	29	34	70	52	20	29
02029	207	10	40	65	42	23	27
02030	204	11	25	77	44	22	25
02031	326	23	43	89	90	29	52
02032	163	12	36	38	37	24	16
02033	358	23	41	114	91	45	44
02034	237	9	22	80	95	15	16
02035	183	11	49	39	48	19	17
02036	207	14	39	44	39	22	49
02037	266	11	28	80	72	29	46
02038	264	9	47	78	71	28	31
02039	198	9	65	78	14	18	14
02040	163	6	22	53	34	28	20
02041	126	4	10	50	22	16	24
02042	198	14	70	36	27	36	15
02043	250	14	39	90	71	20	16
02044	147	10	13	47	44	13	20
02045	263	17	64	63	50	44	25
02046	116	13	16	31	32	12	12
