Precinct	total_votes	votes|Sean C. Starr	votes|Irma Cornier	votes|Milagros Santiago	votes|Regner ''Ray'' Suarez
31001	146	2	4	64	76
31002	139	2	4	50	83
31003	145	11	4	77	53
31004	164	41	13	59	51
31005	159	10	9	87	53
31006	152	1	2	41	108
31007	137	51	6	52	28
31008	96	11	7	44	34
31009	134	9	7	74	44
31010	123	16	4	41	62
31011	112	19	6	53	34
31012	125	19	9	42	55
31013	138	7	2	53	76
31014	126	13	3	65	45
31015	127	5	10	42	70
31016	190	55	17	54	64
31017	163	9	8	89	57
31018	159	14	9	60	76
31019	127	6	6	46	69
31020	133	4	6	25	98
31021	142	2	15	33	92
31022	128	3	11	41	73
31023	131	12	4	59	56
31024	188	5	11	52	120
31025	115	10	6	50	49
31026	172	26	9	60	77
31027	168	2	8	44	114
31028	113	6	5	45	57
31029	196	17	5	54	120
31030	92	5	3	30	54
31031	149	5	7	59	78
31032	123	6	9	43	65
31033	130	21	5	51	53
31034	130	22	3	51	54
31035	167	12	10	76	69
31036	173	11	8	52	102
31037	135	2	6	39	88
31038	123	2	6	39	76
31039	146	59	10	43	34
31040	144	30	6	63	45
31041	125	5	10	44	66
