Precinct	total_votes	votes|Christopher M Vittorio	votes|Omar Aquino	votes|Gilbert Villegas	votes|Alonso Zaragoza
36001	219	43	78	90	8
36002	171	20	70	68	13
36003	202	50	87	52	13
36004	200	19	65	103	13
36005	206	13	71	110	12
36006	162	10	95	39	18
36007	323	201	50	60	12
36008	143	3	68	30	42
36009	151	11	54	48	38
36010	210	40	64	98	8
36011	130	10	57	42	21
36012	125	1	75	27	22
36013	131	9	71	45	6
36014	236	95	58	60	23
36015	265	88	100	63	14
36016	238	90	75	57	16
36017	255	83	64	91	17
36018	233	89	60	69	15
36019	222	60	65	87	10
36020	230	57	97	59	17
36021	157	13	28	96	20
36022	117	4	65	38	10
36023	160	15	64	69	12
36024	220	58	77	73	12
36025	152	2	103	22	25
36026	192	60	78	45	9
36027	195	55	58	73	9
36028	221	47	71	97	6
36029	272	110	86	69	7
36030	226	81	70	65	10
