Precinct	total_votes	votes|Leroy Duncan	votes|Emma M. Mitts	votes|Maretta Brown-Miller	votes|Tara Stamps
37001	180	29	89	24	38
37002	122	13	49	23	37
37003	142	5	55	23	59
37004	188	10	85	23	70
37005	250	13	107	39	91
37006	237	46	100	35	56
37007	155	4	94	19	38
37008	129	8	69	7	45
37009	209	16	67	38	88
37010	246	7	117	31	91
37011	152	4	77	25	46
37012	146	15	61	12	58
37013	151	3	73	25	50
37014	219	3	115	19	82
37015	231	4	144	25	58
37016	243	15	121	23	84
37017	163	3	93	15	52
37018	216	5	120	22	69
37019	135	16	62	17	40
37020	154	4	78	19	53
37021	190	9	120	21	40
37022	197	12	96	17	72
37023	239	8	127	33	71
37024	197	11	83	28	75
37025	217	7	103	32	75
37026	269	12	139	44	74
37027	204	6	117	23	58
37028	180	4	110	28	38
37029	232	12	98	37	85
37030	192	16	103	25	48
37031	245	11	99	26	109
37032	213	33	77	34	69
37033	230	6	124	23	77
37034	203	10	134	8	51
37035	243	9	130	30	74
37036	184	7	106	23	48
37037	209	9	96	37	67
37038	251	33	101	42	75
37039	190	10	87	25	68
37040	237	3	109	44	81
37041	226	21	98	27	80
