Precinct	total_votes	votes|Patrick J. O'Connor	votes|Dianne Daleiden
40001	206	137	69
40002	227	151	76
40003	252	133	119
40004	168	117	51
40005	251	155	96
40006	254	130	124
40007	285	155	130
40008	296	132	164
40009	201	146	55
40010	234	164	70
40011	287	200	87
40012	157	97	60
40013	276	137	139
40014	191	138	53
40015	223	150	73
40016	272	132	140
40017	232	149	83
40018	173	109	64
40019	314	225	89
40020	208	143	65
40021	304	138	166
40022	219	106	113
40023	313	160	153
40024	192	141	51
40025	254	113	141
40026	286	142	144
40027	323	185	138
40028	276	135	141
40029	291	193	98
40030	331	247	84
40031	279	124	155
40032	281	144	137
40033	274	136	138
40034	259	189	70
40035	174	111	63
40036	237	123	114
40037	247	135	112
40038	282	134	148
40039	61	45	16
