Precinct	total_votes	votes|Mary O'Connor	votes|Joe Lomanto	votes|Anthony V. Napolitano
41001	327	107	48	172
41002	361	142	46	173
41003	304	164	18	122
41004	374	209	42	123
41005	309	134	44	131
41006	359	238	25	96
41007	404	149	86	169
41008	339	134	40	165
41009	306	153	30	123
41010	380	192	36	152
41011	364	153	43	168
41012	307	193	23	91
41013	360	122	29	209
41014	360	204	54	102
41015	381	161	32	188
41016	295	161	23	111
41017	311	175	24	112
41018	307	127	25	155
41019	377	212	38	127
41020	272	167	19	86
41021	322	176	30	116
41022	340	149	43	148
41023	325	131	11	183
41024	292	144	16	132
41025	137	85	10	42
41026	345	167	34	144
41027	193	92	13	88
41028	175	107	21	47
41029	145	98	15	32
41030	321	138	23	160
41031	398	293	26	79
41032	249	119	17	113
41033	296	117	22	157
41034	274	104	19	151
41035	366	131	34	201
41036	302	130	24	148
41037	332	165	22	145
41038	283	119	19	145
41039	337	186	29	122
41040	399	158	71	170
41041	342	132	16	194
41042	328	149	40	139
41043	328	128	19	181
41044	367	134	51	182
41045	272	133	29	110
41046	368	196	37	135
41047	311	154	43	114
