Precinct	total_votes	votes|Ameya Pawar	votes|Rory A. Fiedler
47001	114	95	19
47002	337	295	42
47003	369	290	79
47004	293	238	55
47005	253	222	31
47006	221	184	37
47007	213	179	34
47008	283	236	47
47009	173	146	27
47010	266	238	28
47011	167	131	36
47012	287	261	26
47013	260	214	46
47014	266	211	55
47015	265	211	54
47016	307	251	56
47017	234	175	59
47018	226	185	41
47019	245	197	48
47020	285	217	68
47021	254	205	49
47022	313	246	67
47023	223	187	36
47024	200	174	26
47025	224	185	39
47026	243	208	35
47027	217	179	38
47028	303	256	47
47029	260	215	45
47030	256	207	49
47031	244	209	35
47032	274	239	35
47033	219	200	19
47034	306	270	36
47035	243	200	43
47036	291	250	41
47037	283	233	50
47038	249	217	32
47039	284	248	36
47040	320	247	73
47041	288	246	42
47042	234	194	40
47043	214	185	29
47044	225	176	49
47045	271	216	55
47046	257	185	72
47047	246	184	62
47048	44	37	7
