Precinct	total_votes	votes|Joe Moore	votes|Don Gordon
49001	155	115	40
49002	183	119	64
49003	311	196	115
49004	291	192	99
49005	277	211	66
49006	220	157	63
49007	241	138	103
49008	207	148	59
49009	264	163	101
49010	257	179	78
49011	310	223	87
49012	293	199	94
49013	308	217	91
49014	257	170	87
49015	184	132	52
49016	300	221	79
49017	224	151	73
49018	322	208	114
49019	216	148	68
49020	376	242	134
49021	170	116	54
49022	316	236	80
49023	284	191	93
49024	203	150	53
49025	326	194	132
49026	304	184	120
49027	255	174	81
49028	284	192	92
49029	305	161	144
49030	278	160	118
49031	220	155	65
49032	284	198	86
49033	220	138	82
