Precinct	total_votes	votes|Debra L. Silverstein	votes|Shajan M. Kuriakose	votes|Zehra Quadri
50001	253	173	47	33
50002	151	99	38	14
50003	246	171	43	32
50004	250	159	49	42
50005	209	156	35	18
50006	258	189	30	39
50007	319	186	83	50
50008	183	121	31	31
50009	199	126	33	40
50010	208	121	36	51
50011	155	126	24	5
50012	128	86	26	16
50013	186	96	22	68
50014	89	75	11	3
50015	289	168	68	53
50016	100	75	15	10
50017	176	122	21	33
50018	75	74	0	1
50019	157	65	34	58
50020	249	140	58	51
50021	168	108	29	31
50022	170	127	16	27
50023	152	88	21	43
50024	214	159	44	11
50025	226	141	69	16
50026	194	125	23	46
50027	88	53	3	32
50028	227	157	23	47
50029	156	72	31	53
50030	170	85	44	41
50031	202	99	28	75
50032	205	106	37	62
50033	197	137	40	20
50034	289	174	66	49
50035	258	147	61	50
50036	236	165	41	30
50037	216	151	30	35
50038	149	104	33	12
50039	143	95	28	20
50040	265	203	35	27
