Precinct	total_votes	votes|Joseph J. Moseley, Ii	votes|Gregory I. Mitchell	votes|Lashonda Curry	votes|Keiana Barrett	votes|Flora ''Flo'' Digby	votes|Natashia L. Holmes	votes|Bernie Riley	votes|Margie Reid
07001	201	17	22	36	32	22	65	2	5
07002	182	9	48	35	29	8	46	4	3
07003	246	7	27	35	54	35	81	3	4
07004	234	5	48	23	44	60	51	2	1
07005	223	8	42	27	48	26	65	4	3
07006	284	9	46	20	109	23	71	4	2
07007	173	9	27	18	29	27	59	3	1
07008	229	12	13	16	62	30	86	3	7
07009	431	22	32	47	114	77	125	5	9
07010	257	9	46	28	60	49	62	3	0
07011	239	17	30	21	51	21	88	6	5
07012	203	15	13	20	54	28	62	5	6
07013	188	15	13	19	48	20	59	2	12
07014	234	15	28	36	62	19	58	11	5
07015	272	19	26	28	47	88	51	6	7
07016	167	8	31	22	25	17	59	2	3
07017	171	8	36	7	37	22	51	5	5
07018	189	15	19	36	47	11	49	6	6
07019	212	13	19	25	48	39	57	2	9
07020	162	14	28	26	35	12	30	0	17
07021	166	7	24	27	36	18	32	4	18
07022	198	10	32	24	68	8	40	3	13
07023	264	25	43	48	51	40	43	2	12
07024	238	39	39	32	35	15	44	2	32
07025	198	17	12	25	52	7	45	2	38
07026	202	17	32	52	13	30	53	2	3
07027	213	23	38	38	36	11	61	4	2
07028	172	17	14	28	40	11	43	4	15
07029	210	15	51	32	26	13	58	3	12
07030	167	18	20	23	27	13	48	4	14
07031	138	11	46	15	14	13	27	0	12
07032	382	78	96	37	63	32	73	0	3
07033	365	29	116	34	63	28	88	3	4
07034	309	22	83	49	36	29	79	4	7
07035	235	14	73	24	27	21	62	4	10
07036	305	29	83	48	33	43	61	1	7
07037	288	20	76	40	48	19	73	1	11
07038	176	15	54	24	19	18	43	1	2
07039	214	4	74	20	32	21	60	2	1
07040	245	11	120	16	29	10	58	0	1
07041	215	9	106	26	11	12	49	0	2
07042	211	19	86	33	21	20	32	0	0
07043	237	17	75	35	28	22	56	0	4
07044	196	16	45	38	29	15	44	1	8
07045	216	30	47	21	32	35	47	0	4
07046	117	3	6	19	19	5	48	0	17
