Precinct	total_votes	votes|Michelle A. Harris	votes|Faheem Shabazz	votes|Tara F. Baldridge
08001	174	117	35	22
08002	210	137	34	39
08003	322	234	21	67
08004	295	241	30	24
08005	333	213	54	66
08006	260	167	42	51
08007	317	217	72	28
08008	297	203	26	68
08009	178	122	44	12
08010	354	232	44	78
08011	248	181	48	19
08012	224	139	48	37
08013	277	166	77	34
08014	123	75	29	19
08015	213	168	25	20
08016	67	46	14	7
08017	243	186	27	30
08018	199	149	29	21
08019	341	238	44	59
08020	278	186	54	38
08021	276	154	52	70
08022	233	155	52	26
08023	202	139	26	37
08024	166	88	61	17
08025	222	162	23	37
08026	221	174	20	27
08027	297	199	47	51
08028	270	187	48	35
08029	281	178	51	52
08030	278	191	37	50
08031	200	137	27	36
08032	215	177	24	14
08033	248	145	28	75
08034	254	174	48	32
08035	304	180	31	93
08036	275	202	54	19
08037	247	155	53	39
08038	171	104	39	28
08039	263	204	36	23
08040	188	121	25	42
08041	252	166	47	39
08042	306	216	55	35
08043	115	82	24	9
08044	177	138	19	20
08045	176	120	21	35
08046	194	119	62	13
08047	220	171	28	21
08048	212	137	38	37
08049	262	186	31	45
08050	301	231	30	40
08051	286	176	36	74
08052	360	260	39	61
08053	150	88	42	20
08054	162	107	28	27
08055	160	125	19	16
08056	279	202	15	62
