Precinct	total_votes	votes|Anthony A. Beale	votes|Michael E. Lafargue	votes|Harold ''Noonie'' Ward	votes|Theodore Williams
09001	239	166	33	11	29
09002	207	146	24	24	13
09003	145	44	0	91	10
09004	185	115	21	25	24
09005	236	171	33	15	17
09006	244	164	14	16	50
09007	166	94	25	18	29
09008	202	125	43	10	24
09009	290	198	41	27	24
09010	195	152	11	21	11
09011	178	110	10	23	35
09012	268	191	31	24	22
09013	310	216	36	25	33
09014	338	248	38	20	32
09015	153	43	4	85	21
09016	226	132	12	34	48
09017	181	127	15	22	17
09018	156	92	13	17	34
09019	215	138	18	20	39
09020	275	180	29	25	41
09021	216	151	24	17	24
09022	275	183	54	17	21
09023	274	130	108	9	27
09024	264	179	51	10	24
09025	246	144	48	29	25
09026	146	75	11	47	13
09027	214	156	27	14	17
09028	119	87	12	13	7
09029	218	147	25	26	20
09030	193	129	22	30	12
09031	197	123	32	27	15
09032	229	155	35	20	19
09033	180	81	11	51	37
09034	182	111	21	28	22
09035	258	175	38	16	29
09036	199	124	32	14	29
09037	318	217	52	14	35
09038	227	170	26	15	16
09039	254	158	21	37	38
09040	287	191	47	28	21
09041	217	140	8	25	44
09042	301	124	157	5	15
09043	199	137	21	25	16
09044	235	119	23	42	51
09045	184	112	19	20	33
09046	239	149	32	34	24
09047	312	174	105	11	22
09048	273	163	49	18	43
09049	228	139	44	8	37
09050	350	139	165	10	36
09051	263	173	51	12	27
