Precinct	total_votes	votes|Mary O'Connor	votes|Anthony V. Napolitano
41001	385	136	249
41002	448	212	236
41003	340	173	167
41004	480	280	200
41005	429	207	222
41006	502	338	164
41007	473	222	251
41008	431	202	229
41009	388	174	214
41010	472	245	227
41011	446	190	256
41012	387	219	168
41013	449	142	307
41014	479	304	175
41015	472	236	236
41016	372	175	197
41017	412	219	193
41018	378	176	202
41019	439	229	210
41020	320	165	155
41021	393	214	179
41022	426	198	228
41023	425	158	267
41024	371	176	195
41025	193	114	79
41026	431	216	215
41027	273	107	166
41028	247	135	112
41029	204	122	82
41030	405	167	238
41031	457	303	154
41032	310	151	159
41033	355	146	209
41034	354	151	203
41035	460	190	270
41036	399	173	226
41037	433	196	237
41038	350	142	208
41039	417	218	199
41040	473	223	250
41041	434	181	253
41042	420	201	219
41043	412	162	250
41044	460	197	263
41045	338	152	186
41046	447	240	207
41047	400	210	190
