Precinct	total_votes	votes|John Garrido	votes|John S. Arena
45001	260	70	190
45002	276	88	188
45003	282	93	189
45004	406	144	262
45005	372	139	233
45006	446	182	264
45007	484	192	292
45008	327	114	213
45009	331	92	239
45010	391	112	279
45011	255	53	202
45012	322	113	209
45013	352	112	240
45014	425	171	254
45015	471	211	260
45016	320	141	179
45017	380	137	243
45018	356	166	190
45019	170	68	102
45020	221	104	117
45021	332	172	160
45022	325	167	158
45023	361	165	196
45024	323	180	143
45025	284	148	136
45026	190	93	97
45027	318	166	152
45028	272	136	136
45029	225	121	104
45030	304	115	189
45031	289	137	152
45032	320	140	180
45033	236	100	136
45034	367	192	175
45035	420	190	230
45036	403	192	211
45037	327	133	194
45038	288	158	130
45039	321	190	131
45040	362	237	125
45041	341	239	102
45042	399	296	103
45043	429	264	165
45044	380	259	121
45045	243	112	131
45046	263	142	121
45047	289	171	118
45048	293	146	147
