Precinct	total_votes	votes|Rahm Emanuel	votes|Jesus ''Chuy'' Garcia
01001	259	93	166
01002	254	75	179
01003	269	149	120
01004	277	145	132
01005	217	144	73
01006	290	144	146
01007	186	79	107
01008	269	158	111
01009	264	106	158
01010	226	138	88
01011	253	149	104
01012	300	139	161
01013	121	40	81
01014	270	147	123
01015	256	85	171
01016	228	64	164
01017	251	83	168
01018	289	104	185
01019	388	126	262
01020	238	72	166
01021	232	154	78
01022	167	68	99
01023	395	155	240
01024	200	55	145
01025	201	77	124
01026	198	39	159
01027	247	118	129
01028	133	51	82
01029	257	139	118
01030	310	83	227
01031	279	123	156
01032	264	138	126
01033	282	140	142
01034	235	86	149
01035	299	145	154
01036	232	150	82
01037	241	132	109
01038	271	109	162
01039	236	107	129
01040	281	165	116
01041	192	72	120
01042	91	29	62
01043	183	86	97
01044	196	87	109
02001	251	137	114
02002	344	299	45
02003	276	176	100
02004	268	141	127
02005	313	168	145
02006	269	132	137
02007	282	170	112
02008	287	148	139
02009	271	229	42
02010	369	334	35
02011	377	344	33
02012	336	258	78
02013	398	336	62
02014	343	172	171
02015	276	174	102
02016	219	148	71
02017	351	218	133
02018	289	246	43
02019	305	274	31
02020	271	234	37
02021	315	186	129
02022	379	319	60
02023	337	310	27
02024	296	252	44
02025	268	186	82
02026	246	190	56
02027	299	256	43
02028	344	273	71
02029	292	248	44
02030	293	238	55
02031	484	425	59
02032	235	193	42
02033	532	446	86
02034	343	309	34
02035	281	237	44
02036	278	228	50
02037	363	282	81
02038	376	322	54
02039	251	207	44
02040	252	211	41
02041	210	181	29
02042	279	210	69
02043	355	301	54
02044	232	190	42
02045	342	238	104
02046	187	155	32
03001	345	198	147
03002	448	307	141
03003	343	241	102
03004	351	177	174
03005	223	147	76
03006	346	261	85
03007	279	155	124
03008	229	134	95
03009	304	175	129
03010	158	94	64
03011	304	171	133
03012	365	211	154
03013	369	277	92
03014	260	183	77
03015	283	156	127
03016	291	179	112
03017	309	204	105
03018	432	264	168
03019	337	253	84
03020	318	182	136
03021	402	293	109
03022	296	204	92
03023	291	177	114
03024	291	188	103
03025	458	372	86
03026	450	358	92
03027	313	222	91
03028	267	194	73
03029	312	200	112
03030	324	193	131
03031	361	237	124
03032	344	265	79
03033	256	190	66
03034	360	256	104
03035	163	85	78
03036	174	100	74
03037	254	148	106
