Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
19001	420	184	236
19002	447	95	352
19003	384	236	148
19004	549	306	243
19006	254	136	118
19008	528	306	222
19009	367	176	191
19011	491	302	189
19012	405	243	162
19015	637	382	255
19016	488	272	216
19019	361	110	251
19021	433	232	201
19022	486	179	307
19024	356	219	137
19029	64	33	31
19030	450	246	204
19033	490	288	202
19039	218	20	198
19041	457	255	202
19044	535	325	210
19045	468	222	246
19047	663	121	542
19051	525	205	320
19053	435	176	259
19054	393	239	154
19055	419	244	175
41003	433	190	243
41005	562	289	273
41007	539	311	228
41008	485	275	210
41011	456	255	201
41013	581	335	246
41015	623	323	300
41016	277	135	142
41017	496	250	246
41018	437	233	204
41020	399	206	193
41021	463	219	244
41022	484	275	209
41023	530	323	207
41025	467	180	287
41026	472	248	224
41027	245	118	127
41028	576	222	354
41029	438	198	240
41030	488	240	248
41031	507	265	242
41033	471	237	234
41034	409	220	189
41035	537	312	225
41036	486	260	226
41037	548	292	256
41038	456	223	233
41041	508	276	232
41043	519	269	250
41045	472	234	238
41046	504	276	228
45045	327	171	156
45046	371	185	186
45047	343	159	184
45048	391	210	181
Barrington 1	658	470	188
Barrington 2	629	358	271
Barrington 3	794	616	178
Barrington 4	1,000	740	260
Barrington 5	741	591	150
Barrington 6	832	529	303
Barrington 7	248	190	58
Barrington 8	1,066	754	312
Barrington 9	519	347	172
Barrington 10	936	563	373
Barrington 11	557	412	145
Berwyn Ward 1 Precinct 1	420	130	290
Berwyn Ward 1 Precinct 2	514	136	378
Berwyn Ward 1 Precinct 3	719	204	515
Berwyn Ward 1 Precinct 4	424	126	298
Berwyn Ward 1 Precinct 5	426	131	295
Berwyn Ward 2 Precinct 2	543	145	398
Berwyn Ward 2 Precinct 3	669	190	479
Berwyn Ward 2 Precinct 4	913	235	678
Bloom 1	644	284	360
Bloom 2	660	259	401
Bloom 3	4	3	1
Bloom 4	589	79	510
Bloom 5	420	193	227
Bloom 7	650	229	421
Bloom 8	587	261	326
Bloom 9	569	253	316
Bloom 11	409	200	209
Bloom 12	636	130	506
Bloom 13	933	178	755
Bloom 14	790	293	497
Bloom 15	514	172	342
Bloom 16	46	18	28
Bloom 17	486	56	430
Bloom 18	520	207	313
Bloom 20	570	246	324
Bloom 22	517	116	401
Bloom 25	497	92	405
Bloom 26	158	39	119
Bloom 28	546	213	333
Bloom 31	578	260	318
Bloom 32	443	64	379
Bloom 35	322	49	273
Bloom 36	4	0	4
Bloom 39	230	27	203
Bloom 42	494	103	391
Bloom 44	701	280	421
Bloom 46	509	85	424
Bloom 47	730	309	421
Bloom 50	521	167	354
Bloom 51	318	33	285
Bloom 52	535	29	506
Bloom 53	345	100	245
Bloom 54	298	56	242
Bloom 56	488	211	277
Bloom 57	279	85	194
Bloom 58	418	73	345
Bloom 59	454	120	334
Bloom 61	543	218	325
Bremen 2	619	328	291
Bremen 3	493	257	236
Bremen 4	554	259	295
Bremen 5	428	166	262
Bremen 6	438	162	276
Bremen 9	478	284	194
Bremen 10	712	412	300
Bremen 11	643	315	328
Bremen 12	135	27	108
Bremen 13	568	241	327
Bremen 15	431	111	320
Bremen 16	566	321	245
Bremen 18	846	414	432
Bremen 20	430	238	192
Bremen 21	188	73	115
Bremen 22	475	272	203
Bremen 24	476	312	164
Bremen 25	769	367	402
Bremen 27	639	277	362
Bremen 28	441	196	245
Bremen 30	611	341	270
Bremen 33	534	310	224
Bremen 34	774	496	278
Bremen 36	406	260	146
Bremen 41	363	169	194
Bremen 42	757	418	339
Bremen 43	469	108	361
Bremen 46	564	339	225
Bremen 50	651	385	266
Bremen 52	503	236	267
Bremen 53	376	184	192
Bremen 54	453	249	204
Bremen 57	615	377	238
Bremen 58	725	393	332
Bremen 59	514	265	249
Bremen 60	471	246	225
Bremen 61	552	290	262
Bremen 62	620	264	356
Bremen 64	651	358	293
Bremen 67	773	468	305
Bremen 68	377	237	140
Bremen 69	554	246	308
Bremen 72	372	212	160
Bremen 73	608	288	320
Bremen 74	657	263	394
Bremen 76	463	263	200
Bremen 77	890	466	424
Bremen 79	588	369	219
Cicero 1	741	134	607
Cicero 2	333	47	286
Cicero 4	571	119	452
Cicero 5	672	244	428
Cicero 6	570	169	401
Cicero 7	429	64	365
Cicero 8	313	62	251
Cicero 9	641	109	532
Cicero 10	700	146	554
Cicero 11	565	198	367
Cicero 12	458	130	328
