Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
01001	618	48	533	17	20
01002	587	32	526	14	15
01003	729	60	626	27	16
01004	701	63	589	37	12
01005	706	66	606	23	11
01006	629	69	520	25	15
01007	444	30	388	18	8
01008	610	48	533	19	10
01009	529	44	455	17	13
01010	784	80	651	38	15
01011	703	71	595	21	16
01012	735	99	601	19	16
01013	278	27	237	6	8
01014	651	46	576	19	10
01015	576	54	493	16	13
01016	595	39	524	18	14
01017	551	34	488	13	16
01018	660	29	591	14	26
01019	780	38	705	15	22
01020	494	30	432	19	13
01021	750	53	652	34	11
01022	403	17	365	16	5
01023	818	55	716	19	28
01024	568	33	501	15	19
01025	588	47	505	17	19
01026	432	34	374	10	14
01027	655	51	568	29	7
01028	223	13	205	3	2
01029	613	45	537	19	12
01030	707	43	625	18	21
01031	635	39	559	18	19
01032	617	65	519	22	11
01033	705	80	589	28	8
01034	546	31	484	12	19
01035	794	86	648	30	30
01036	682	83	554	29	16
01037	641	95	510	24	12
01038	648	49	569	18	12
01039	546	65	458	14	9
01040	630	81	518	17	14
01041	343	20	306	8	9
01042	188	20	157	3	8
01043	410	38	343	20	9
01044	525	22	471	18	14
02001	703	74	591	32	6
02002	523	109	388	20	6
02003	764	60	655	34	15
02004	587	50	503	23	11
02005	773	76	629	50	18
02006	646	66	543	25	12
02007	633	74	524	28	7
02008	780	83	642	39	16
02009	605	134	436	30	5
02010	575	163	391	16	5
02011	649	138	483	22	6
02012	603	61	511	25	6
02013	609	125	453	27	4
02014	672	82	557	16	17
02015	632	53	534	30	15
02016	611	47	540	20	4
02017	733	76	622	22	13
02018	654	140	492	15	7
02019	478	130	337	8	3
02020	772	127	602	34	9
02021	643	53	550	30	10
02022	697	120	525	42	10
02023	440	96	312	29	3
02024	632	77	507	40	8
02025	748	70	618	44	16
02026	604	81	491	23	9
02027	640	156	442	28	14
02028	751	155	557	35	4
02029	723	156	537	25	5
02030	565	120	415	24	6
02031	802	178	586	29	9
02032	603	118	444	32	9
02033	955	202	703	40	10
02034	535	110	404	16	5
02035	883	146	690	38	9
02036	550	109	414	22	5
02037	573	122	422	26	3
02038	626	168	418	31	9
02039	483	171	285	19	8
02040	808	165	609	27	7
02041	724	147	536	32	9
02042	760	143	577	34	6
02043	927	198	676	46	7
02044	430	83	317	26	4
02045	638	100	505	21	12
02046	407	74	304	24	5
03001	723	16	691	6	10
03002	677	12	653	3	9
03003	596	46	539	6	5
03004	632	12	608	3	9
03005	453	12	439	0	2
03006	755	123	586	35	11
03007	413	13	392	2	6
03008	610	9	586	3	12
03009	594	14	563	4	13
03010	353	7	345	0	1
03011	612	7	589	4	12
03012	559	12	531	6	10
03013	733	102	595	25	11
03014	670	70	565	26	9
03015	643	12	624	2	5
03016	587	8	562	5	12
03017	769	67	671	20	11
03018	888	25	842	6	15
03019	728	126	562	34	6
03020	636	5	624	3	4
03021	693	104	564	20	5
03022	872	116	718	22	16
03023	552	8	530	6	8
03024	568	12	549	4	3
03025	1019	170	797	40	12
03026	723	93	593	26	11
03027	790	142	611	29	8
03028	360	8	348	1	3
03029	709	14	684	4	7
03030	565	8	546	3	8
03031	758	15	731	7	5
03032	762	88	647	19	8
03033	785	96	645	34	10
03034	804	90	676	28	10
03035	311	9	296	3	3
03036	391	5	377	3	6
03037	559	7	541	3	8
03038	494	6	483	4	1
03039	857	107	699	40	11
03040	707	44	642	12	9
03041	525	46	453	15	11
04001	767	29	701	14	23
04002	786	100	641	38	7
04003	588	6	570	4	8
04004	819	19	791	6	3
04005	586	17	550	6	13
04006	713	39	668	2	4
04007	715	8	688	9	10
04008	661	8	630	3	20
04009	637	12	611	1	13
04010	667	18	633	8	8
04011	687	14	661	5	7
04012	673	11	647	5	10
04013	733	55	625	38	15
04014	632	18	606	3	5
