Precinct	total_votes	votes|Gary Mandell	votes|Ann M. Williams
01028	169	9	160
01042	65	14	51
02020	89	29	60
02022	667	283	384
02024	581	180	401
02026	541	165	376
32001	502	141	361
32005	36	6	30
32007	655	178	477
32008	762	266	496
32009	645	159	486
32010	662	217	445
32013	657	207	450
32015	600	146	454
32016	606	133	473
32018	593	240	353
32019	594	139	455
32021	646	173	473
32023	637	214	423
32024	510	197	313
32025	610	177	433
32027	614	241	373
32029	166	36	130
32030	638	231	407
32033	305	108	197
32034	77	14	63
32036	26	6	20
32037	350	82	268
32038	614	179	435
32039	705	288	417
32040	668	185	483
32041	654	204	450
32042	571	160	411
33003	117	30	87
33005	117	23	94
33008	779	167	612
33010	557	112	445
33020	93	13	80
33023	664	118	546
33024	769	142	627
43002	653	253	400
43006	494	178	316
43009	668	241	427
43016	759	272	487
43017	545	222	323
43018	726	299	427
43020	694	231	463
43021	681	244	437
43022	464	146	318
43024	529	188	341
43029	652	228	424
43030	818	261	557
43031	619	203	416
43037	767	206	561
43039	719	235	484
43040	499	147	352
43041	843	272	571
43044	621	224	397
43046	381	131	250
44002	670	193	477
44009	642	213	429
44011	472	138	334
44016	746	222	524
44025	636	188	448
44030	787	219	568
47001	404	99	305
47002	628	173	455
47003	601	159	442
47004	653	168	485
47005	158	29	129
47006	723	167	556
47007	581	118	463
47008	629	161	468
47009	573	151	422
47011	650	162	488
47012	687	135	552
47013	569	87	482
47014	577	151	426
47016	597	109	488
47017	600	138	462
47018	647	150	497
47021	582	97	485
47024	654	140	514
47025	730	151	579
47027	569	142	427
47028	36	6	30
47029	667	161	506
47033	644	171	473
47035	637	176	461
47039	612	113	499
47040	606	106	500
47041	90	28	62
47043	634	175	459
47044	621	168	453
47046	562	168	394
47047	770	182	588
47048	56	8	48
