Precinct	total_votes	votes|Lou Lang
40004	214	214
40010	372	372
40029	32	32
40035	3	3
40039	97	97
50001	389	389
50002	249	249
50003	330	330
50004	421	421
50005	261	261
50006	416	416
50007	452	452
50008	76	76
50009	322	322
50010	409	409
50011	278	278
50012	163	163
50013	500	500
50014	109	109
50015	430	430
50016	122	122
50017	358	358
50018	88	88
50019	255	255
50020	418	418
50021	332	332
50022	299	299
50023	249	249
50025	296	296
50026	442	442
50027	104	104
50028	402	402
50029	453	453
50030	285	285
50031	492	492
50032	481	481
50033	301	301
50034	505	505
50035	484	484
50036	337	337
50037	416	416
50038	162	162
50039	291	291
50040	378	378
Niles 4	458	458
Niles 5	312	312
Niles 6	221	221
Niles 10	570	570
Niles 12	416	416
Niles 15	607	607
Niles 16	748	748
Niles 17	625	625
Niles 20	480	480
Niles 24	655	655
Niles 25	358	358
Niles 26	341	341
Niles 27	527	527
Niles 29	345	345
Niles 30	412	412
Niles 33	397	397
Niles 34	567	567
Niles 35	601	601
Niles 39	612	612
Niles 40	271	271
Niles 41	632	632
Niles 42	540	540
Niles 44	641	641
Niles 46	588	588
Niles 51	298	298
Niles 52	403	403
Niles 55	356	356
Niles 56	614	614
Niles 57	633	633
Niles 58	567	567
Niles 61	771	771
Niles 63	680	680
