Precinct	total_votes	votes|Michael P. Mcauliffe	votes|Merry Marwig
38002	535	344	191
38007	167	86	81
38012	512	336	176
38017	129	64	65
38020	531	279	252
38024	3	3	0
38028	600	321	279
41001	511	308	203
41002	575	378	197
41003	272	124	148
41004	545	323	222
41005	624	365	259
41007	610	393	217
41008	557	351	206
41010	581	350	231
41011	617	355	262
41013	670	432	238
41015	682	395	287
41016	536	276	260
41017	550	297	253
41018	509	291	218
41020	437	243	194
41021	513	265	248
41022	563	325	238
41023	595	407	188
41025	534	206	328
41026	530	283	247
41027	506	270	236
41031	575	321	254
41033	532	339	193
41034	483	293	190
41035	630	363	267
41036	538	309	229
41037	603	367	236
41040	602	403	199
41041	560	346	214
41042	563	369	194
41043	593	333	260
41044	580	408	172
41045	526	256	270
41046	562	326	236
