Precinct	total_votes	votes|Elgie R. Sims, Jr.
06001	442	442
06002	454	454
06003	432	432
06008	438	438
06013	316	316
06014	422	422
06016	400	400
06019	65	65
06029	438	438
06031	435	435
06034	445	445
06035	373	373
06036	459	459
06037	426	426
06038	442	442
06039	373	373
06041	432	432
06042	447	447
06043	374	374
06044	455	455
06045	465	465
06046	298	298
08015	115	115
08022	366	366
08026	220	220
08031	326	326
08032	351	351
08034	370	370
08039	424	424
08043	199	199
08045	137	137
08047	339	339
08054	37	37
09001	178	178
09007	31	31
09008	453	453
09009	339	339
09012	475	475
09013	333	333
09023	434	434
09024	391	391
09025	403	403
09028	29	29
09031	50	50
09036	364	364
09037	485	485
09038	289	289
09042	400	400
09043	187	187
09046	418	418
09047	428	428
09048	421	421
09049	413	413
09050	523	523
09051	408	408
10013	10	10
10016	2	2
17021	388	388
21031	275	275
21053	138	138
