Precinct	total_votes	votes|Jaime M. Andrade, Jr.
01041	21	21
01042	25	25
30003	315	315
30007	2	2
30008	446	446
30015	336	336
30018	279	279
30022	548	548
30023	29	29
30024	379	379
30025	236	236
30028	474	474
30032	316	316
32001	177	177
32003	306	306
32017	535	535
32026	267	267
32028	222	222
32043	435	435
33001	547	547
33002	330	330
33003	516	516
33004	683	683
33005	371	371
33006	510	510
33007	449	449
33009	601	601
33011	590	590
33012	555	555
33013	518	518
33014	273	273
33015	592	592
33016	712	712
33017	593	593
33018	447	447
33019	561	561
33020	543	543
33021	592	592
33022	522	522
33025	651	651
33026	433	433
33027	565	565
33028	507	507
35001	459	459
35004	442	442
35005	425	425
35006	425	425
35009	457	457
35020	446	446
35022	535	535
35023	462	462
35024	424	424
35026	395	395
35027	430	430
35029	428	428
35030	450	450
35031	499	499
39003	442	442
39006	4	4
39012	334	334
39025	326	326
39028	494	494
39031	336	336
39034	433	433
45001	363	363
45002	384	384
45003	385	385
45004	516	516
45005	410	410
45006	502	502
45007	603	603
45008	27	27
