Precinct	total_votes	votes|Kwame Raoul
02002	364	364
02010	368	368
02011	455	455
02013	419	419
02018	482	482
02019	300	300
02023	296	296
02027	318	318
02029	336	336
02034	384	384
02042	258	258
03002	38	38
03004	556	556
03011	240	240
03012	192	192
03019	556	556
03021	173	173
03027	342	342
03030	486	486
03031	335	335
04001	678	678
04003	491	491
04004	702	702
04005	544	544
04006	175	175
04007	635	635
04008	606	606
04009	590	590
04010	605	605
04011	454	454
04012	616	616
04015	657	657
04018	457	457
04019	489	489
04022	556	556
04023	709	709
04024	514	514
04026	510	510
04027	650	650
04028	504	504
04029	549	549
04030	709	709
04031	548	548
04032	598	598
04033	594	594
04034	495	495
04035	657	657
04036	360	360
04038	404	404
05001	472	472
05003	554	554
05004	650	650
05005	476	476
05006	435	435
05007	495	495
05008	532	532
05009	620	620
05010	449	449
05011	540	540
05013	413	413
05014	415	415
05015	494	494
05016	518	518
05017	426	426
05018	509	509
05019	497	497
05020	582	582
05021	565	565
05022	577	577
05023	921	921
05024	576	576
05025	478	478
05026	553	553
05027	704	704
05028	525	525
05029	579	579
05030	347	347
05031	425	425
05032	567	567
05033	518	518
05034	648	648
05035	542	542
05036	308	308
05037	544	544
05038	495	495
05039	417	417
05040	400	400
05041	271	271
07001	305	305
07002	451	451
07003	406	406
07004	383	383
07005	369	369
07006	551	551
07007	443	443
07008	348	348
07009	686	686
07010	459	459
07011	504	504
07012	397	397
07013	262	262
07014	451	451
07015	421	421
07016	377	377
07017	360	360
07018	409	409
07019	400	400
07020	309	309
07021	362	362
07022	358	358
07023	406	406
07024	348	348
07025	413	413
07028	63	63
07030	66	66
07031	278	278
07032	308	308
07033	493	493
07034	478	478
07035	430	430
07037	404	404
07046	155	155
08001	25	25
08002	327	327
08021	3	3
08042	563	563
10001	360	360
10004	336	336
10006	309	309
10007	279	279
10008	305	305
10010	356	356
10011	453	453
10012	256	256
10014	447	447
10018	272	272
10019	373	373
10020	355	355
10021	368	368
10022	249	249
10023	326	326
10025	136	136
10026	317	317
10027	400	400
10028	416	416
10029	359	359
10030	360	360
10031	299	299
10032	340	340
10033	275	275
10034	303	303
10035	338	338
10036	89	89
20005	453	453
20009	572	572
20016	468	468
20022	438	438
20024	436	436
20026	448	448
20034	627	627
42001	422	422
42002	583	583
42004	938	938
42006	479	479
42007	592	592
42008	457	457
42011	306	306
42013	412	412
42019	252	252
42024	470	470
42026	607	607
42028	576	576
42029	547	547
42030	378	378
42031	642	642
42034	408	408
42035	731	731
42040	583	583
43035	529	529
