Precinct	total_votes	votes|Jacqueline ''Jacqui'' Collins
06004	380	380
06005	340	340
06006	417	417
06007	443	443
06009	467	467
06010	317	317
06011	400	400
06012	389	389
06015	270	270
06017	360	360
06018	317	317
06019	360	360
06020	307	307
06021	301	301
06022	329	329
06023	279	279
06024	256	256
06025	278	278
06026	379	379
06027	296	296
06028	175	175
06030	413	413
06032	420	420
06033	442	442
06040	379	379
06047	359	359
06048	441	441
08026	4	4
15007	161	161
15022	302	302
16006	212	212
16016	341	341
16024	214	214
16029	341	341
16030	285	285
16033	317	317
17001	160	160
17002	380	380
17003	441	441
17004	532	532
17005	315	315
17008	178	178
17009	324	324
17010	538	538
17011	350	350
17013	365	365
17015	476	476
17017	365	365
17018	414	414
17019	279	279
17020	485	485
17021	56	56
17022	365	365
17023	270	270
17024	434	434
17026	465	465
17027	397	397
17028	305	305
17029	383	383
17030	235	235
17031	298	298
17032	368	368
17033	305	305
17034	310	310
17035	341	341
17036	413	413
17037	354	354
17038	418	418
17039	402	402
17040	422	422
17041	479	479
18001	391	391
18002	396	396
18003	330	330
18004	423	423
18005	304	304
18006	323	323
18007	417	417
18008	412	412
18009	161	161
18010	515	515
18011	332	332
18012	389	389
18013	430	430
18014	415	415
18015	16	16
18016	386	386
18017	429	429
18018	344	344
18019	357	357
18020	340	340
18021	503	503
18022	441	441
18023	394	394
18024	372	372
18025	407	407
18026	352	352
18027	332	332
18028	354	354
18029	447	447
18030	417	417
18031	441	441
18032	20	20
18033	331	331
18035	432	432
18036	440	440
18037	450	450
18038	358	358
18039	378	378
18040	461	461
18041	472	472
18042	407	407
18043	43	43
18044	315	315
18045	410	410
18046	166	166
18047	350	350
18048	347	347
18049	288	288
18050	207	207
20008	79	79
20028	286	286
21002	225	225
21004	429	429
21013	55	55
21015	304	304
21017	42	42
21020	240	240
21026	413	413
21028	512	512
21030	346	346
21034	111	111
21043	398	398
21044	194	194
21047	428	428
21051	411	411
21052	380	380
21053	180	180
21054	362	362
Lyons 5	509	509
Lyons 13	256	256
Lyons 23	492	492
Lyons 25	185	185
Lyons 28	141	141
Lyons 38	226	226
Lyons 49	253	253
Lyons 52	452	452
Lyons 53	391	391
Lyons 54	99	99
Lyons 61	433	433
Lyons 70	527	527
Lyons 73	392	392
Lyons 74	273	273
Lyons 76	282	282
Lyons 77	366	366
Lyons 78	296	296
Palos 4	351	351
Palos 5	301	301
Palos 6	305	305
Palos 17	583	583
Palos 18	487	487
Palos 19	561	561
Palos 20	508	508
Palos 23	319	319
Palos 25	334	334
Palos 27	519	519
Palos 28	488	488
Palos 31	487	487
Palos 38	412	412
Stickney 5	609	609
Stickney 9	240	240
Stickney 11	535	535
Stickney 12	275	275
Stickney 14	612	612
Stickney 15	586	586
Worth 1	274	274
Worth 2	524	524
Worth 21	714	714
Worth 25	167	167
Worth 26	277	277
Worth 30	499	499
Worth 33	59	59
Worth 40	77	77
Worth 44	329	329
Worth 47	270	270
Worth 53	478	478
Worth 58	272	272
Worth 66	295	295
Worth 74	240	240
Worth 76	262	262
Worth 82	457	457
Worth 83	204	204
Worth 86	484	484
Worth 94	560	560
Worth 99	304	304
