Precinct	total_votes	votes|Iris Y. Martinez
01002	170	170
01007	359	359
01009	428	428
01013	228	228
01016	498	498
01017	134	134
01019	669	669
01023	699	699
01034	458	458
01041	294	294
01042	111	111
01043	333	333
26007	370	370
26034	389	389
26037	38	38
30001	468	468
30003	321	321
30004	386	386
30007	442	442
30008	463	463
30009	233	233
30015	334	334
30017	411	411
30018	500	500
30019	107	107
30020	430	430
30022	544	544
30023	477	477
30024	491	491
30025	540	540
30026	266	266
30027	283	283
30028	470	470
30031	270	270
30032	334	334
31001	301	301
31002	247	247
31005	316	316
31006	247	247
31007	474	474
31008	219	219
31009	333	333
31010	298	298
31011	256	256
31012	259	259
31013	329	329
31014	220	220
31017	270	270
31018	270	270
31020	277	277
31021	202	202
31023	276	276
31024	301	301
31026	307	307
31027	306	306
31028	284	284
31029	279	279
31030	236	236
31032	264	264
31033	276	276
31034	290	290
31035	305	305
31036	291	291
31037	270	270
31038	317	317
31040	327	327
31041	283	283
32001	188	188
32003	566	566
32011	502	502
32012	388	388
32014	558	558
32017	530	530
32020	526	526
32022	697	697
32026	565	565
32028	527	527
32043	471	471
33001	542	542
33002	325	325
33003	520	520
33004	701	701
33005	391	391
33006	499	499
33007	469	469
33009	597	597
33011	594	594
33012	562	562
33013	535	535
33014	284	284
33015	599	599
33016	700	700
33017	580	580
33018	453	453
33019	579	579
33020	537	537
33021	588	588
33022	506	506
33025	642	642
33026	446	446
33027	563	563
33028	528	528
35001	469	469
35002	54	54
35004	445	445
35005	439	439
35006	445	445
35009	466	466
35010	624	624
35011	506	506
35015	550	550
35017	548	548
35020	445	445
35022	546	546
35023	454	454
35024	427	427
35025	581	581
35026	398	398
35027	443	443
35028	463	463
35029	442	442
35030	471	471
35031	491	491
36009	26	26
36014	408	408
36016	389	389
36017	395	395
36018	282	282
36020	383	383
38023	410	410
38034	372	372
38035	378	378
38039	140	140
39003	440	440
39006	4	4
39012	337	337
39025	324	324
39028	498	498
39031	349	349
39034	448	448
45001	370	370
45002	379	379
45003	386	386
45004	501	501
45005	406	406
45006	500	500
45007	588	588
45008	436	436
45009	426	426
45010	450	450
45011	350	350
