Precinct	total_votes	votes|Yes	votes|No
01001	543	505	38
01002	557	523	34
01003	716	673	43
01004	693	670	23
01005	671	634	37
01006	588	557	31
01007	427	395	32
01008	538	513	25
01009	449	424	25
01010	768	726	42
01011	683	650	33
01012	701	659	42
01013	262	242	20
01014	614	575	39
01015	528	501	27
01016	570	529	41
01017	498	470	28
01018	630	585	45
01019	667	636	31
01020	476	448	28
01021	746	717	29
01022	385	358	27
01023	810	773	37
01024	513	480	33
01025	564	539	25
01026	407	381	26
01027	639	603	36
01028	153	139	14
01029	585	550	35
01030	676	626	50
01031	570	539	31
01032	604	575	29
01033	679	641	38
01034	536	501	35
01035	749	720	29
01036	660	627	33
01037	633	597	36
01038	610	576	34
01039	518	487	31
01040	568	530	38
01041	325	309	16
01042	187	170	17
01043	397	373	24
01044	480	459	21
02001	686	648	38
02002	504	473	31
02003	750	712	38
02004	570	547	23
02005	767	728	39
02006	633	600	33
02007	613	566	47
02008	746	703	43
02009	590	556	34
02010	559	514	45
02011	644	597	47
02012	563	528	35
02013	584	548	36
02014	577	544	33
02015	588	552	36
02016	604	574	30
02017	708	674	34
02018	630	593	37
02019	440	403	37
02020	757	711	46
02021	628	600	28
02022	682	644	38
02023	429	412	17
02024	598	563	35
02025	734	711	23
02026	563	532	31
02027	605	561	44
02028	732	680	52
02029	704	656	48
02030	556	523	33
02031	792	754	38
02032	594	557	37
02033	926	879	47
02034	518	483	35
02035	869	824	45
02036	522	492	30
02037	552	519	33
02038	606	555	51
02039	430	392	38
02040	693	662	31
02041	689	649	40
02042	726	669	57
02043	897	843	54
02044	421	396	25
02045	594	544	50
02046	399	371	28
03001	662	603	59
03002	600	567	33
03003	470	447	23
03004	608	577	31
03005	404	361	43
03006	754	710	44
03007	388	349	39
03008	547	496	51
03009	574	532	42
03010	238	212	26
03011	576	527	49
03012	522	483	39
03013	719	687	32
03014	533	496	37
03015	586	534	52
03016	564	508	56
03017	744	692	52
03018	808	751	57
03019	719	681	38
03020	585	540	45
03021	649	609	40
03022	859	816	43
03023	526	485	41
03024	495	456	39
03025	996	953	43
03026	715	679	36
03027	778	715	63
03028	337	317	20
03029	655	605	50
03030	548	500	48
03031	703	636	67
03032	696	654	42
03033	766	730	36
03034	774	727	47
03035	274	236	38
03036	359	332	27
03037	525	482	43
03038	439	412	27
03039	835	792	43
03040	678	640	38
03041	450	419	31
04001	742	683	59
04002	772	730	42
04003	537	505	32
04004	756	694	62
04005	558	516	42
04006	658	635	23
04007	450	423	27
04008	653	606	47
04009	633	599	34
04010	651	599	52
04011	621	588	33
04012	631	586	45
04013	715	682	33
04014	593	555	38
04015	710	663	47
04016	890	837	53
04017	815	766	49
04018	503	462	41
04019	556	512	44
04020	544	500	44
04021	822	766	56
04022	589	561	28
04023	758	723	35
04024	551	522	29
04025	712	677	35
04026	550	510	40
04027	682	642	40
04028	547	505	42
04029	593	552	41
04030	821	772	49
04031	555	530	25
04032	625	568	57
04033	627	595	32
04034	494	445	49
04035	666	622	44
04036	647	608	39
04037	984	925	59
04038	609	587	22
05001	531	489	42
05002	469	424	45
05003	600	569	31
05004	685	628	57
05005	530	488	42
05006	474	436	38
05007	529	496	33
05008	587	564	23
05009	666	633	33
05010	507	471	36
05011	589	542	47
05012	447	390	57
05013	486	446	40
05014	453	428	25
05015	548	505	43
05016	500	462	38
05017	487	419	68
05018	534	493	41
05019	546	518	28
05020	630	604	26
05021	605	563	42
05022	618	600	18
05023	988	933	55
05024	637	604	33
05025	506	474	32
05026	597	558	39
05027	791	766	25
05028	564	528	36
05029	611	566	45
05030	457	412	45
05031	467	425	42
05032	589	559	30
05033	554	520	34
05034	731	693	38
05035	583	548	35
05036	348	321	27
05037	562	529	33
05038	551	496	55
05039	459	429	30
05040	423	377	46
05041	281	268	13
06001	495	458	37
06002	463	435	28
06003	473	437	36
06004	389	347	42
06005	383	327	56
06006	440	408	32
06007	489	440	49
06008	480	451	29
06009	492	444	48
06010	359	324	35
06011	425	392	33
06012	441	410	31
06013	356	324	32
06014	477	438	39
06015	466	406	60
06016	456	425	31
06017	367	325	42
06018	367	336	31
06019	466	428	38
06020	355	318	37
06021	344	312	32
06022	381	356	25
06023	294	262	32
06024	279	246	33
06025	285	260	25
06026	409	371	38
06027	327	296	31
06028	300	275	25
06029	475	440	35
06030	450	403	47
06031	467	427	40
06032	447	410	37
06033	480	449	31
06034	502	468	34
06035	410	383	27
06036	475	447	28
06037	463	420	43
06038	489	448	41
06039	438	405	33
06040	424	391	33
06041	467	436	31
06042	511	462	49
06043	412	380	32
06044	526	484	42
