Precinct	total_votes	votes|August (O'Neill) Deuser	votes|Bobby L. Rush
03002	41	2	39
03004	298	10	288
03007	404	15	389
03012	50	1	49
03018	252	17	235
03023	91	5	86
03029	1	0	1
03030	250	9	241
03031	28	2	26
03035	277	17	260
03038	478	7	471
03041	475	57	418
04001	746	79	667
04003	566	14	552
04004	72	6	66
04008	503	14	489
04009	626	14	612
04011	236	12	224
04012	649	23	626
04014	506	18	488
04015	539	12	527
04018	533	20	513
04019	591	16	575
04022	518	46	472
04023	772	48	724
04024	537	41	496
04026	599	18	581
04027	700	45	655
04028	173	7	166
04029	402	8	394
04030	718	15	703
04031	570	34	536
04032	642	14	628
04033	646	38	608
04036	302	10	292
04038	603	23	580
05002	497	12	485
05003	596	50	546
05004	693	41	652
05005	552	9	543
05007	553	45	508
05008	593	69	524
05009	655	39	616
05010	316	5	311
05011	227	23	204
05012	461	16	445
05013	489	13	476
05015	560	36	524
05016	589	12	577
05017	529	15	514
05018	333	8	325
05019	544	67	477
05020	619	44	575
05021	599	44	555
05022	611	73	538
05024	640	43	597
05025	138	5	133
05027	781	106	675
05030	475	19	456
05033	589	14	575
05034	730	94	636
05035	482	59	423
05039	464	46	418
06001	503	15	488
06002	497	11	486
06003	497	9	488
06004	417	5	412
06005	394	5	389
06006	459	15	444
06007	490	12	478
06008	489	5	484
06009	556	15	541
06010	369	13	356
06011	465	9	456
06012	440	5	435
06013	380	9	371
06014	493	13	480
06015	497	10	487
06016	475	6	469
06017	425	9	416
06018	407	16	391
06019	478	11	467
06020	361	5	356
06021	50	3	47
06022	383	14	369
06023	330	7	323
06024	306	5	301
06025	322	3	319
06026	434	5	429
06027	350	13	337
06028	308	4	304
06029	496	5	491
06030	467	11	456
06031	470	12	458
06032	465	9	456
06033	490	16	474
06034	506	12	494
06035	436	6	430
06036	503	12	491
06037	461	18	443
06038	491	10	481
06039	469	10	459
06040	425	6	419
06041	488	10	478
06042	540	18	522
06043	441	9	432
06044	547	11	536
06045	544	14	530
06046	343	13	330
06047	399	7	392
06048	497	11	486
07001	167	4	163
08001	404	9	395
08002	480	10	470
08003	477	8	469
08004	162	4	158
08005	463	8	455
08006	478	4	474
08008	431	9	422
08010	538	15	523
08011	430	13	417
08012	432	12	420
08013	564	14	550
08014	466	9	457
08015	477	11	466
08016	183	6	177
08018	532	13	519
08019	485	13	472
08020	502	8	494
08021	635	6	629
08022	439	12	427
08023	434	5	429
08024	290	9	281
08025	503	12	491
08026	504	16	488
08027	89	5	84
08029	555	13	542
08030	524	12	512
08031	376	15	361
08033	452	15	437
08034	424	11	413
08035	481	11	470
08037	374	11	363
08038	319	11	308
08040	384	9	375
08041	521	8	513
08043	274	6	268
08044	332	6	326
08045	525	14	511
08047	402	12	390
08048	467	8	459
08049	371	7	364
08050	298	7	291
08051	506	10	496
08052	594	13	581
08054	460	10	450
08055	362	4	358
08056	494	7	487
09012	521	13	508
09023	489	11	478
09024	446	9	437
09025	460	12	448
09036	427	5	422
09042	451	8	443
09047	473	13	460
09048	486	9	477
09049	490	11	479
09050	566	15	551
09051	440	10	430
