Precinct	total_votes	votes|Joan Mccarthy Lasonde	votes|Janice D. Schakowsky
40004	321	52	269
40009	484	82	402
40010	468	70	398
40018	511	61	450
40022	563	84	479
40025	106	6	100
40026	576	56	520
40027	753	102	651
40028	630	63	567
40031	535	70	465
40033	559	66	493
40035	416	79	337
40036	529	74	455
40037	603	98	505
40039	200	27	173
41001	485	240	245
41002	554	288	266
41004	519	228	291
41005	610	282	328
41007	591	288	303
41008	523	259	264
41010	551	246	305
41011	419	210	209
41013	630	306	324
41015	662	305	357
41017	84	36	48
41018	483	207	276
41020	420	192	228
41023	295	173	122
41025	510	163	347
41028	622	217	405
41029	471	183	288
41031	558	222	336
41033	81	39	42
41034	450	204	246
41036	515	235	280
41037	581	257	324
41040	585	318	267
41041	545	258	287
41042	537	270	267
41043	568	247	321
41044	558	314	244
41045	292	115	177
44003	426	93	333
44004	636	132	504
44007	498	172	326
44024	516	122	394
44035	803	214	589
46001	460	89	371
46002	547	67	480
46004	566	71	495
46005	12	7	5
46006	570	52	518
46007	671	139	532
46008	480	63	417
46009	682	104	578
46011	636	149	487
46012	599	65	534
46013	630	112	518
46014	699	72	627
46015	676	124	552
46016	398	56	342
46017	695	144	551
46018	704	154	550
46020	512	66	446
46021	459	82	377
46022	485	70	415
46023	473	68	405
46024	459	107	352
46025	606	78	528
46026	635	74	561
46027	787	139	648
46029	555	96	459
46032	609	78	531
46034	742	110	632
46035	757	110	647
46037	444	53	391
46038	122	25	97
46040	536	69	467
47015	749	70	679
47019	794	75	719
47023	668	64	604
47030	427	54	373
48001	556	66	490
48002	288	59	229
48003	731	79	652
48004	599	57	542
48005	329	56	273
48006	753	102	651
48007	607	52	555
48008	336	69	267
48009	434	99	335
48010	814	76	738
48011	475	64	411
48012	696	75	621
48013	757	143	614
48014	341	70	271
48015	424	67	357
48016	638	60	578
48017	564	70	494
48018	422	63	359
48019	397	49	348
48020	665	87	578
48021	769	112	657
48022	508	106	402
48023	672	131	541
48024	738	179	559
48025	523	68	455
48026	349	56	293
48027	1159	186	973
48028	741	166	575
48029	279	53	226
48030	526	59	467
48031	890	93	797
48032	646	64	582
48033	344	55	289
48034	532	69	463
48035	364	61	303
48036	351	58	293
48037	641	69	572
48038	593	92	501
48039	490	90	400
48040	531	73	458
48041	773	77	696
48042	711	60	651
48043	625	88	537
48044	726	67	659
48045	462	56	406
48046	399	72	327
49001	445	31	414
49002	413	43	370
49003	670	66	604
49004	759	83	676
49005	589	52	537
49006	589	53	536
49007	678	128	550
49008	522	70	452
49009	646	84	562
49010	595	75	520
49011	740	71	669
49012	877	99	778
49013	737	85	652
49014	513	69	444
49015	505	51	454
49016	573	86	487
49017	414	92	322
49018	774	48	726
49019	590	32	558
49020	902	86	816
49021	393	51	342
49022	621	71	550
49023	739	65	674
49024	554	57	497
49025	837	99	738
49026	700	132	568
49027	772	80	692
49028	811	77	734
49029	728	80	648
49030	715	100	615
49031	512	64	448
49032	643	66	577
49033	538	51	487
50001	489	229	260
50002	322	133	189
50003	419	182	237
50004	532	138	394
50005	369	188	181
50006	546	132	414
50007	545	100	445
50008	521	62	459
50009	399	91	308
50010	549	205	344
50011	359	233	126
50012	225	80	145
50013	609	94	515
50014	174	80	94
50015	543	123	420
50016	172	67	105
50017	477	119	358
50018	111	49	62
50019	366	62	304
50020	521	112	409
50021	440	101	339
50022	448	195	253
50023	329	102	227
50025	413	196	217
50026	566	125	441
50027	156	62	94
50028	536	74	462
50029	525	58	467
50030	373	60	313
50031	605	67	538
50032	614	70	544
50033	417	240	177
50034	634	172	462
50035	614	97	517
50036	440	112	328
50037	499	88	411
50038	212	60	152
50039	386	130	256
50040	510	303	207
