Precinct	Register Voters	Ballots Cast	Turnout %
01001	838	455	54.30
01002	786	420	53.44
01003	899	431	47.94
01004	847	388	45.81
01005	856	378	44.16
01006	804	404	50.25
01007	504	285	56.55
01008	778	366	47.04
01009	591	357	60.41
01010	928	406	43.75
01011	843	413	48.99
01012	954	444	46.54
01013	401	196	48.88
01014	789	427	54.12
01015	757	388	51.25
01016	604	363	60.10
01017	718	410	57.10
01018	862	438	50.81
01019	962	538	55.93
01020	721	356	49.38
01021	882	397	45.01
01022	563	307	54.53
01023	1054	615	58.35
01024	875	417	47.66
01025	817	422	51.65
01026	690	337	48.84
01027	862	396	45.94
01028	331	165	49.85
01029	766	369	48.17
01030	899	456	50.72
01031	833	423	50.78
01032	754	390	51.72
01033	912	421	46.16
01034	657	378	57.53
01035	899	449	49.94
01036	785	351	44.71
01037	802	382	47.63
01038	776	421	54.25
01039	745	340	45.64
01040	819	390	47.62
01041	469	271	57.78
01042	251	124	49.40
01043	536	288	53.73
01044	638	361	56.58
02001	891	386	43.32
02002	607	239	39.37
02003	862	419	48.61
02004	763	360	47.18
02005	931	413	44.36
02006	853	401	47.01
02007	1101	356	32.33
02008	955	415	43.46
02009	747	239	31.99
02010	688	248	36.05
02011	720	292	40.56
02012	761	354	46.52
02013	684	310	45.32
02014	833	416	49.94
02015	806	364	45.16
02016	781	326	41.74
02017	917	445	48.53
02018	661	281	42.51
02019	580	202	34.83
02020	971	302	31.10
02021	814	384	47.17
02022	803	294	36.61
02023	562	213	37.90
02024	724	306	42.27
02025	844	372	44.08
02026	755	301	39.87
02027	694	275	39.63
02028	867	311	35.87
02029	842	301	35.75
02030	694	254	36.60
02031	986	363	36.82
02032	665	228	34.29
02033	1040	456	43.85
02034	596	237	39.77
02035	1014	312	30.77
02036	589	255	43.29
02037	655	277	42.29
02038	715	272	38.04
02039	618	194	31.39
02040	844	277	32.82
02041	890	228	25.62
02042	789	335	42.46
02043	910	338	37.14
02044	452	190	42.04
