Precinct	total_votes	votes|Robert Martwick
29029	185	185
29031	72	72
29032	195	195
38001	188	188
38003	209	209
38005	183	183
38006	200	200
38007	170	170
38009	225	225
38011	205	205
38013	207	207
38014	249	249
38015	220	220
38017	174	174
38018	204	204
38019	197	197
38021	177	177
38022	215	215
38024	201	201
38025	174	174
38026	214	214
38027	208	208
38029	223	223
38030	177	177
38031	232	232
38032	197	197
38033	205	205
38036	215	215
38038	193	193
38040	226	226
38041	224	224
39020	255	255
39021	202	202
39023	240	240
39024	258	258
39041	23	23
41003	142	142
41012	212	212
41024	176	176
41030	225	225
41038	192	192
45012	225	225
45013	262	262
45014	340	340
45015	355	355
45016	222	222
45017	252	252
45018	248	248
45019	123	123
45020	153	153
45021	192	192
45022	208	208
45023	201	201
45024	173	173
45025	147	147
45026	126	126
45027	218	218
45028	174	174
45029	127	127
45030	211	211
45031	189	189
45032	106	106
45033	178	178
45034	256	256
45035	233	233
45036	256	256
45037	204	204
45038	204	204
45039	206	206
45040	230	230
45041	195	195
45042	226	226
45043	197	197
45044	194	194
45045	127	127
45046	146	146
45047	141	141
45048	121	121
