Precinct	total_votes	votes|Monique D. Davis
09002	44	44
09010	280	280
09017	14	14
09020	345	345
09021	260	260
09027	293	293
09030	274	274
19014	300	300
19020	282	282
19031	199	199
19040	278	278
19042	223	223
19043	456	456
19047	468	468
19048	394	394
19049	410	410
21002	141	141
21005	356	356
21006	270	270
21010	292	292
21011	317	317
21012	306	306
21017	261	261
21019	345	345
21020	86	86
21021	296	296
21022	199	199
21023	290	290
21024	306	306
21025	292	292
21027	329	329
21033	318	318
21034	135	135
21035	343	343
21036	259	259
21037	256	256
21038	329	329
21039	262	262
21040	274	274
21041	322	322
21042	186	186
21043	3	3
21044	205	205
21045	296	296
21046	338	338
21048	196	196
21049	342	342
21050	284	284
21052	35	35
34001	364	364
34002	121	121
34005	277	277
34007	336	336
34008	290	290
34010	325	325
34012	345	345
34013	314	314
34015	245	245
34017	387	387
34019	362	362
34020	220	220
34021	400	400
34025	372	372
34029	261	261
34031	62	62
34032	316	316
34034	367	367
34035	346	346
34040	346	346
34043	300	300
34044	343	343
34045	350	350
34046	223	223
34047	309	309
34048	335	335
34049	395	395
34051	52	52
34052	270	270
Bremen 64	21	21
Bremen 68	84	84
Calumet 2	198	198
Calumet 6	215	215
Orland 21	159	159
Orland 35	155	155
Palos 1	61	61
Palos 3	112	112
Palos 9	79	79
Palos 15	141	141
Palos 24	20	20
Palos 33	140	140
Worth 7	118	118
Worth 8	306	306
Worth 9	0	0
Worth 12	141	141
Worth 14	296	296
Worth 16	102	102
Worth 17	316	316
Worth 18	95	95
Worth 19	282	282
Worth 20	160	160
Worth 23	175	175
Worth 34	261	261
Worth 42	171	171
Worth 43	109	109
Worth 50	167	167
Worth 55	160	160
Worth 59	456	456
Worth 64	194	194
Worth 65	213	213
Worth 68	240	240
Worth 79	82	82
Worth 88	138	138
Worth 89	173	173
Worth 95	120	120
Worth 97	244	244
