Precinct	total_votes	votes|Robert ''Bob'' Rita
09001	284	284
09002	232	232
09004	210	210
09005	260	260
09006	278	278
09009	67	67
09013	80	80
09014	367	367
09017	215	215
09019	283	283
09022	303	303
09029	208	208
09031	170	170
09032	246	246
09034	225	225
09035	274	274
09038	74	74
09039	307	307
09040	315	315
09043	145	145
09044	45	45
34002	132	132
34003	320	320
34004	245	245
34006	345	345
34009	223	223
34011	241	241
34014	238	238
34015	16	16
34016	234	234
34018	224	224
34020	136	136
34022	267	267
34023	231	231
34024	297	297
34026	315	315
34027	245	245
34028	230	230
34030	296	296
34031	173	173
34033	241	241
34036	258	258
34037	207	207
34038	159	159
34039	239	239
34041	219	219
34042	278	278
34050	244	244
34051	243	243
34053	231	231
