Precinct	total_votes	votes|Wilbur ''Will'' Tillman	votes|Thaddeus Jones	votes|Kenneth ''Kenny'' Williams
09003	304	70	165	69
09004	19	1	17	1
09007	236	57	135	44
09011	247	68	119	60
09015	372	96	184	92
09016	313	51	205	57
09018	244	55	136	53
09026	349	88	199	62
09028	131	19	81	31
09031	11	5	4	2
09033	262	59	152	51
09041	283	50	184	49
09044	244	33	153	58
09045	278	35	166	77
Bloom 6	4	0	3	1
Bloom 7	278	38	184	56
Bloom 8	205	52	105	48
Bloom 9	147	30	73	44
Bloom 10	205	12	174	19
Bloom 11	124	24	56	44
Bloom 21	118	10	97	11
Bloom 24	457	68	296	93
Bloom 26	34	9	12	13
Bloom 29	222	20	181	21
Bloom 33	318	43	201	74
Bloom 34	225	36	150	39
Bloom 37	244	29	184	31
Bloom 45	500	59	329	112
Bloom 48	278	31	201	46
Bloom 49	440	40	353	47
Bloom 60	346	39	253	54
Thornton 6	511	65	346	100
Thornton 7	408	38	310	60
Thornton 8	441	75	279	87
Thornton 20	124	15	96	13
Thornton 21	514	27	396	91
Thornton 22	398	32	202	164
Thornton 23	294	36	191	67
Thornton 27	579	73	367	139
Thornton 34	566	44	376	146
Thornton 37	318	37	209	72
Thornton 40	316	58	173	85
Thornton 41	248	32	146	70
Thornton 45	348	35	234	79
Thornton 48	360	58	239	63
Thornton 53	265	57	161	47
Thornton 54	523	29	400	94
Thornton 55	291	46	170	75
Thornton 64	395	60	281	54
Thornton 66	574	47	425	102
Thornton 72	390	31	251	108
Thornton 73	541	36	362	143
Thornton 74	408	30	309	69
Thornton 75	405	51	258	96
Thornton 76	433	29	312	92
Thornton 80	340	36	248	56
Thornton 81	354	54	200	100
Thornton 82	199	22	157	20
Thornton 83	555	47	350	158
Thornton 84	518	31	330	157
Thornton 86	332	26	219	87
Thornton 87	582	156	342	84
Thornton 88	411	42	285	84
Thornton 89	554	44	407	103
Thornton 90	423	35	297	91
Thornton 91	367	27	271	69
Thornton 92	411	24	253	134
Thornton 100	227	21	140	66
Thornton 105	388	31	270	87
Thornton 112	36	5	22	9
Thornton 115	390	21	264	105
Thornton 121	368	28	236	104
Thornton 122	507	39	351	117
Thornton 123	276	16	188	72
