Precinct	total_votes	votes|Mary E. Flowers
06010	228	228
06017	238	238
06019	70	70
06020	196	196
06022	208	208
06025	200	200
06026	65	65
06027	196	196
17002	248	248
17004	388	388
17005	242	242
17009	272	272
17010	314	314
17011	179	179
17015	307	307
17018	320	320
17020	377	377
17021	62	62
17022	254	254
17023	186	186
17024	320	320
17026	328	328
17027	314	314
17028	233	233
17029	268	268
17032	179	179
17034	172	172
17037	233	233
17038	293	293
17039	275	275
17040	323	323
17041	361	361
18004	335	335
18006	111	111
18007	288	288
18008	308	308
18009	105	105
18010	414	414
18012	189	189
18013	321	321
18014	327	327
18016	303	303
18018	259	259
18019	269	269
18020	250	250
18021	260	260
18022	363	363
18026	287	287
18029	9	9
18032	14	14
18033	26	26
18035	343	343
18036	301	301
18037	346	346
18038	292	292
18041	361	361
21002	82	82
21004	318	318
21013	33	33
21015	218	218
21017	35	35
21020	186	186
21026	284	284
21028	360	360
21030	250	250
21034	156	156
21043	341	341
21044	92	92
21047	276	276
21051	295	295
21052	276	276
21053	122	122
21054	278	278
Lyons 5	208	208
Lyons 23	199	199
Lyons 25	70	70
Lyons 28	44	44
Lyons 49	130	130
Lyons 52	188	188
Lyons 53	132	132
Lyons 54	39	39
Lyons 61	168	168
Lyons 73	175	175
Lyons 76	117	117
Lyons 78	107	107
Palos 4	147	147
Palos 5	99	99
Palos 19	203	203
Palos 23	122	122
Palos 27	5	5
Palos 28	243	243
Palos 31	181	181
Palos 38	138	138
Stickney 9	0	0
Worth 1	124	124
Worth 2	234	234
Worth 21	302	302
Worth 25	79	79
Worth 26	118	118
Worth 30	218	218
Worth 33	46	46
Worth 40	28	28
Worth 44	120	120
Worth 47	108	108
Worth 53	235	235
Worth 58	131	131
Worth 66	136	136
Worth 76	131	131
Worth 82	207	207
Worth 83	89	89
Worth 94	232	232
Worth 99	100	100
