Precinct	total_votes	votes|Kelly M. Burke
17018	1	1
18009	157	157
18019	8	8
18026	81	81
18032	268	268
18034	312	312
19003	154	154
19005	303	303
19009	177	177
19012	162	162
19016	34	34
19018	47	47
19024	159	159
19030	9	9
19033	50	50
19055	169	169
19056	222	222
21007	300	300
21009	313	313
21013	225	225
21015	59	59
21026	12	12
21029	219	219
Lyons 23	5	5
Lyons 46	149	149
Palos 2	113	113
Palos 7	177	177
Palos 10	165	165
Palos 11	130	130
Palos 12	171	171
Palos 13	62	62
Palos 14	122	122
Palos 21	104	104
Palos 22	29	29
Palos 26	108	108
Palos 30	51	51
Palos 32	74	74
Palos 34	117	117
Palos 35	214	214
Palos 36	188	188
Palos 37	148	148
Palos 39	186	186
Worth 3	242	242
Worth 4	351	351
Worth 5	265	265
Worth 6	187	187
Worth 10	310	310
Worth 11	249	249
Worth 13	298	298
Worth 25	186	186
Worth 26	34	34
Worth 27	177	177
Worth 28	171	171
Worth 29	240	240
Worth 31	378	378
Worth 32	182	182
Worth 33	155	155
Worth 35	234	234
Worth 36	301	301
Worth 37	251	251
Worth 38	315	315
Worth 39	274	274
Worth 40	225	225
Worth 41	142	142
Worth 45	221	221
Worth 46	277	277
Worth 48	150	150
Worth 49	142	142
Worth 52	148	148
Worth 54	297	297
Worth 56	191	191
Worth 57	290	290
Worth 58	124	124
Worth 60	125	125
Worth 61	178	178
Worth 62	137	137
Worth 63	259	259
Worth 69	353	353
Worth 70	278	278
Worth 71	158	158
Worth 72	289	289
Worth 75	281	281
Worth 77	248	248
Worth 78	282	282
Worth 80	352	352
Worth 83	24	24
Worth 84	239	239
Worth 85	215	215
Worth 90	259	259
Worth 91	120	120
Worth 92	247	247
Worth 93	151	151
Worth 96	345	345
Worth 98	206	206
Worth 100	252	252
