Precinct	total_votes	votes|Luis Arroyo
01002	203	203
01017	0	0
01026	40	40
26024	1	1
26037	244	244
29015	39	39
29023	39	39
29024	40	40
29029	19	19
29030	280	280
29031	109	109
29036	208	208
29038	228	228
29039	240	240
30002	271	271
30005	211	211
30006	250	250
30009	84	84
30010	314	314
30011	266	266
30012	230	230
30013	222	222
30014	208	208
30016	150	150
30019	240	240
30021	179	179
30029	165	165
30030	129	129
31003	181	181
31004	181	181
31014	34	34
31015	137	137
31016	114	114
31019	159	159
31021	22	22
31022	177	177
31025	161	161
31031	195	195
31039	209	209
35002	274	274
35003	97	97
35007	332	332
35008	325	325
35014	284	284
35018	272	272
35019	123	123
35021	74	74
36001	295	295
36002	269	269
36003	237	237
36004	283	283
36005	299	299
36006	217	217
36007	246	246
36008	233	233
36009	250	250
36010	282	282
36011	210	210
36012	162	162
36013	200	200
36015	255	255
36018	51	51
36019	304	304
36021	268	268
36022	236	236
36023	262	262
36024	242	242
36025	291	291
36026	180	180
36027	223	223
36028	198	198
36029	266	266
36030	227	227
37022	152	152
37026	43	43
38004	214	214
38008	203	203
38010	201	201
38016	196	196
38021	6	6
38037	230	230
38039	199	199
Leyden 28	117	117
Leyden 34	81	81
