Precinct	total_votes	votes|Martin J. Moylan
41028	186	186
41029	135	135
41042	5	5
Elk Grove 3	227	227
Elk Grove 4	221	221
Elk Grove 9	149	149
Elk Grove 12	93	93
Elk Grove 13	197	197
Elk Grove 15	149	149
Elk Grove 17	174	174
Elk Grove 18	260	260
Elk Grove 20	204	204
Elk Grove 24	152	152
Elk Grove 29	159	159
Elk Grove 31	134	134
Elk Grove 32	121	121
Elk Grove 33	110	110
Elk Grove 36	151	151
Elk Grove 37	140	140
Elk Grove 38	172	172
Elk Grove 40	163	163
Elk Grove 42	167	167
Elk Grove 43	151	151
Elk Grove 45	167	167
Elk Grove 47	215	215
Elk Grove 49	213	213
Elk Grove 51	212	212
Leyden 23	258	258
Maine 3	115	115
Maine 6	317	317
Maine 7	156	156
Maine 8	185	185
Maine 9	313	313
Maine 10	187	187
Maine 11	115	115
Maine 12	150	150
Maine 13	175	175
Maine 14	283	283
Maine 16	142	142
Maine 17	210	210
Maine 18	194	194
Maine 20	121	121
Maine 21	241	241
Maine 22	257	257
Maine 24	222	222
Maine 25	237	237
Maine 26	173	173
Maine 34	239	239
Maine 35	198	198
Maine 36	174	174
Maine 37	145	145
Maine 38	134	134
Maine 42	272	272
Maine 47	216	216
Maine 48	248	248
Maine 50	142	142
Maine 53	211	211
Maine 54	198	198
Maine 56	273	273
Maine 61	105	105
Maine 65	108	108
Maine 67	193	193
Maine 68	146	146
Maine 79	220	220
Maine 80	159	159
Maine 86	173	173
Maine 87	99	99
Norwood Park 3	227	227
Norwood Park 11	270	270
Norwood Park 14	173	173
