Precinct	total_votes	votes|Camille Lilly
29001	325	325
29004	337	337
29005	247	247
29007	270	270
29009	278	278
29010	333	333
29012	338	338
29013	326	326
29015	303	303
29017	308	308
29023	211	211
29024	225	225
29025	311	311
29026	281	281
29027	241	241
29030	40	40
29033	214	214
29035	223	223
29036	46	46
29037	255	255
29040	336	336
29041	238	238
29043	326	326
29044	368	368
37018	252	252
37029	157	157
37035	232	232
37037	281	281
Leyden 3	206	206
Leyden 5	207	207
Leyden 6	323	323
Leyden 7	132	132
Leyden 8	212	212
Leyden 9	195	195
Leyden 10	232	232
Leyden 11	204	204
Leyden 13	212	212
Leyden 14	130	130
Leyden 16	240	240
Leyden 19	208	208
Leyden 20	92	92
Leyden 22	104	104
Leyden 26	263	263
Leyden 30	198	198
Leyden 34	73	73
Leyden 36	172	172
Leyden 39	120	120
Leyden 46	196	196
Leyden 50	278	278
Oak Park 1	331	331
Oak Park 2	451	451
Oak Park 3	546	546
Oak Park 4	429	429
Oak Park 5	421	421
Oak Park 6	507	507
Oak Park 7	319	319
Oak Park 8	412	412
Oak Park 9	263	263
Oak Park 10	404	404
Oak Park 11	411	411
Oak Park 12	189	189
Oak Park 13	430	430
Oak Park 14	390	390
Oak Park 15	550	550
Oak Park 18	295	295
Oak Park 19	393	393
Oak Park 20	410	410
Oak Park 21	322	322
Oak Park 22	261	261
Oak Park 23	357	357
Oak Park 24	271	271
Oak Park 26	390	390
Oak Park 28	497	497
Oak Park 30	499	499
Oak Park 32	331	331
Oak Park 34	330	330
Oak Park 35	453	453
Oak Park 36	239	239
Oak Park 37	236	236
