Precinct	total_votes	votes|La Shawn K. Ford
28001	275	275
28012	308	308
28014	266	266
28031	351	351
28039	220	220
28041	223	223
28042	207	207
28043	397	397
29002	476	476
29003	386	386
29006	288	288
29008	297	297
29011	201	201
29014	334	334
29016	370	370
29018	357	357
29019	356	356
29020	409	409
29021	438	438
29022	280	280
29028	415	415
29034	192	192
29042	375	375
37001	242	242
37005	322	322
37006	290	290
37009	321	321
37010	318	318
37011	235	235
37014	297	297
37015	330	330
37016	282	282
37017	295	295
37020	260	260
37022	53	53
37023	330	330
37024	315	315
37025	300	300
37026	327	327
37027	282	282
37029	114	114
37030	197	197
37031	327	327
37032	267	267
37033	308	308
37034	296	296
37036	308	308
37038	344	344
37039	284	284
37040	341	341
37041	297	297
