Precinct	total_votes	votes|Martin A. Sandoval
12002	253	253
12006	252	252
12007	275	275
12010	283	283
12011	306	306
12012	276	276
12013	14	14
12014	284	284
12015	225	225
12016	280	280
12017	199	199
12018	250	250
12020	341	341
12022	311	311
13001	206	206
13002	209	209
13003	208	208
13004	239	239
13005	308	308
13006	227	227
13007	198	198
13008	180	180
13009	236	236
13010	180	180
13011	235	235
13012	224	224
13013	271	271
13014	223	223
13015	440	440
13016	195	195
13017	206	206
13018	180	180
13019	327	327
13020	133	133
13021	233	233
13022	254	254
13023	198	198
13024	233	233
13025	261	261
13026	264	264
13027	247	247
13028	224	224
13029	210	210
13030	199	199
13031	246	246
13032	206	206
13033	209	209
13034	307	307
13035	211	211
13036	157	157
13037	251	251
13038	174	174
13039	254	254
13040	211	211
13041	270	270
13042	207	207
13043	245	245
13044	289	289
13045	290	290
13046	311	311
13047	284	284
13048	190	190
14001	25	25
14003	322	322
14006	36	36
14010	0	0
14011	212	212
14015	350	350
14018	73	73
14022	224	224
14023	60	60
15006	267	267
15009	25	25
15010	151	151
15011	161	161
15012	38	38
18015	268	268
18043	177	177
18046	172	172
22004	118	118
22005	8	8
22007	38	38
22010	370	370
22013	229	229
22014	214	214
22015	240	240
22016	255	255
22017	33	33
22018	131	131
22019	2	2
22022	258	258
23001	217	217
23002	198	198
23004	265	265
23005	278	278
23006	211	211
23007	248	248
23008	275	275
23009	248	248
23010	318	318
23011	304	304
23012	186	186
23013	231	231
23014	6	6
23015	234	234
23016	208	208
23017	70	70
23018	185	185
23020	173	173
23021	213	213
23022	152	152
23023	201	201
23024	87	87
23025	41	41
23026	189	189
23027	200	200
23028	216	216
23029	180	180
23030	308	308
23032	262	262
23033	288	288
23034	256	256
23035	134	134
23036	207	207
23037	129	129
23038	184	184
23039	248	248
24016	257	257
