Precinct	total_votes	votes|Kwame Raoul
02002	145	145
02010	155	155
02011	177	177
02013	205	205
02018	213	213
02019	128	128
02023	126	126
02027	111	111
02029	143	143
02034	171	171
02042	92	92
03002	25	25
03004	379	379
03011	146	146
03012	128	128
03019	270	270
03021	37	37
03027	149	149
03030	327	327
03031	216	216
04001	448	448
04003	334	334
04004	472	472
04005	391	391
04006	111	111
04007	430	430
04008	437	437
04009	476	476
04010	465	465
04011	287	287
04012	424	424
04015	467	467
04018	308	308
04019	307	307
04022	387	387
04023	481	481
04024	350	350
04026	332	332
04027	419	419
04028	335	335
04029	338	338
04030	445	445
04031	409	409
04032	381	381
04033	408	408
04034	333	333
04035	471	471
04036	202	202
04038	291	291
05001	283	283
05003	352	352
05004	396	396
05005	305	305
05006	275	275
05007	349	349
05008	351	351
05009	435	435
05010	262	262
05011	369	369
05013	154	154
05014	323	323
05015	327	327
05016	314	314
05017	292	292
05018	320	320
05019	326	326
05020	387	387
05021	364	364
05022	396	396
05023	558	558
05024	391	391
05025	333	333
05026	330	330
05027	318	318
05028	382	382
05029	386	386
05030	120	120
05031	274	274
05032	393	393
05033	344	344
05034	401	401
05035	368	368
05036	230	230
05037	342	342
05038	333	333
05039	269	269
05040	263	263
05041	196	196
07001	235	235
07002	267	267
07003	195	195
07004	308	308
07005	219	219
07006	362	362
07007	258	258
07008	245	245
07009	438	438
07010	303	303
07011	346	346
07012	244	244
07013	157	157
07014	288	288
07015	287	287
07016	249	249
07017	236	236
07018	226	226
07019	274	274
07020	204	204
07021	226	226
07022	207	207
07023	293	293
07024	234	234
07025	269	269
07028	50	50
07030	81	81
07031	175	175
07032	222	222
07033	387	387
07034	335	335
07035	271	271
07037	286	286
07046	125	125
08001	2	2
08002	36	36
08021	1	1
08042	378	378
10001	237	237
10004	191	191
10006	192	192
10007	155	155
10008	188	188
10010	217	217
10011	253	253
10012	153	153
10014	276	276
10018	167	167
10019	199	199
10020	211	211
10021	239	239
10022	150	150
10023	227	227
10025	85	85
10026	192	192
10027	217	217
10028	263	263
10029	205	205
10030	213	213
10031	186	186
10032	214	214
10033	165	165
10034	159	159
10035	204	204
10036	54	54
20005	267	267
20009	322	322
20016	295	295
20022	372	372
20024	263	263
20026	302	302
20034	396	396
42001	196	196
42002	191	191
42004	315	315
42006	270	270
42007	221	221
42008	201	201
42011	132	132
42013	234	234
42019	79	79
42024	180	180
42026	220	220
42028	286	286
42029	196	196
42030	166	166
42031	219	219
42034	148	148
42035	320	320
42040	169	169
43035	207	207
