Precinct	total_votes	votes|Antonio ''Tony'' Munoz
11001	245	245
11003	243	243
11004	254	254
11005	332	332
11008	257	257
11009	235	235
11010	218	218
11011	242	242
11014	111	111
11015	100	100
11016	165	165
11017	324	324
11018	224	224
11019	358	358
11020	172	172
11022	321	321
11023	168	168
11025	299	299
11026	302	302
11027	90	90
11030	126	126
11036	105	105
11037	75	75
11038	134	134
12001	280	280
12003	352	352
12004	318	318
12005	243	243
12006	6	6
12008	343	343
12009	228	228
12013	301	301
12017	121	121
12019	293	293
12020	17	17
12021	297	297
12023	291	291
14001	239	239
14002	385	385
14004	205	205
14005	429	429
14006	133	133
14007	325	325
14008	307	307
14009	290	290
14010	208	208
14012	257	257
14013	254	254
14014	313	313
14016	227	227
14017	258	258
14018	22	22
14019	337	337
14020	202	202
14021	285	285
14022	86	86
14023	125	125
14024	266	266
14025	194	194
14026	224	224
14027	261	261
14028	191	191
14029	265	265
14030	178	178
14031	188	188
15003	25	25
15004	291	291
15005	241	241
15008	275	275
15009	320	320
15010	226	226
15011	201	201
15012	314	314
15013	119	119
15014	211	211
15015	257	257
15016	286	286
15019	223	223
16001	309	309
16002	55	55
16007	221	221
16011	240	240
16013	251	251
16017	152	152
16023	251	251
16032	275	275
16035	257	257
17001	227	227
17007	283	283
17012	354	354
17014	282	282
17016	170	170
17030	81	81
20020	3	3
22001	164	164
22002	280	280
22008	319	319
22012	240	240
22023	303	303
23003	179	179
23006	75	75
23012	9	9
23014	175	175
23017	135	135
23019	256	256
23020	2	2
23022	70	70
23024	148	148
23025	200	200
23026	57	57
23031	186	186
23037	57	57
25001	285	285
25002	299	299
25005	305	305
25006	63	63
25007	303	303
25008	338	338
25009	339	339
25011	331	331
25012	282	282
25013	326	326
25014	143	143
25015	293	293
25017	289	289
25018	120	120
25019	308	308
25022	308	308
25023	356	356
25024	310	310
25026	339	339
25027	20	20
25028	340	340
25030	309	309
25032	268	268
28019	39	39
