Precinct	total_votes	votes|Bobby L. Rush	votes|O. Patrick Brutus	votes|Howard B. Brookins, Jr.
03002	28	24	2	2
03004	409	327	9	73
03007	325	235	13	77
03012	47	32	3	12
03018	197	138	13	46
03023	98	84	5	9
03029	0	0	0	0
03030	383	313	9	61
03031	18	16	1	1
03035	188	152	6	30
03038	372	309	7	56
03041	347	246	23	78
04001	470	313	41	116
04003	441	383	13	45
04004	105	77	4	24
04008	468	370	12	86
04009	542	411	14	117
04011	189	139	7	43
04012	497	406	19	72
04014	373	286	15	72
04015	414	311	19	84
04018	418	331	18	69
04019	463	408	18	37
04022	437	296	27	114
04023	540	377	43	120
04024	408	292	22	94
04026	461	386	17	58
04027	454	309	49	96
04028	161	132	5	24
04029	294	246	14	34
04030	561	470	21	70
04031	452	328	16	108
04032	467	374	21	72
04033	478	369	22	87
04036	260	210	7	43
04038	495	371	21	103
05002	378	309	10	59
05003	390	261	39	90
05004	468	357	29	82
05005	427	356	16	55
05007	396	297	17	82
05008	380	240	39	101
05009	474	314	44	116
05010	193	163	5	25
05011	159	115	9	35
05012	337	273	11	53
05013	359	295	19	45
05015	392	284	26	82
05016	413	331	17	65
05017	414	352	20	42
05018	230	170	13	47
05019	375	227	29	119
05020	451	314	23	114
05021	414	262	48	104
05022	436	269	28	139
05024	429	274	44	111
05025	112	94	3	15
05027	320	190	53	77
05030	335	272	8	55
05033	452	382	8	62
05034	428	255	62	111
05035	343	222	21	100
05039	303	201	21	81
06001	410	308	12	90
06002	391	290	13	88
06003	402	318	7	77
06004	291	233	8	50
06005	265	210	9	46
06006	378	271	8	99
06007	372	288	11	73
06008	404	329	9	66
06009	394	304	19	71
06010	278	232	11	35
06011	388	314	12	62
06012	319	270	10	39
06013	286	219	8	59
06014	347	279	17	51
06015	366	308	15	43
06016	401	290	15	96
06017	310	266	5	39
06018	281	239	9	33
06019	361	286	12	63
06020	254	213	8	33
06021	103	87	3	13
06022	266	225	10	31
06023	253	197	6	50
06024	278	227	13	38
06025	251	199	10	42
06026	321	267	18	36
06027	248	204	5	39
06028	220	191	8	21
06029	402	298	13	91
06030	341	278	10	53
06031	379	292	12	75
06032	360	276	6	78
06033	403	318	10	75
06034	386	307	7	72
06035	361	289	11	61
06036	426	331	7	88
06037	387	275	24	88
06038	414	317	18	79
06039	360	286	18	56
06040	337	267	9	61
06041	416	318	13	85
06042	389	308	9	72
06043	326	263	14	49
06044	382	294	13	75
06045	415	312	9	94
06046	260	207	6	47
06047	319	271	7	41
06048	396	311	19	66
07001	158	131	3	24
08001	285	241	3	41
08002	383	322	14	47
08003	409	308	20	81
08004	220	164	10	46
08005	395	296	9	90
08006	387	316	5	66
08008	368	281	11	76
08010	453	313	23	117
08011	330	269	9	52
08012	332	248	20	64
08013	432	345	20	67
08014	323	268	8	47
08015	353	287	9	57
08016	151	124	2	25
08018	355	297	11	47
08019	425	332	13	80
08020	409	333	14	62
08021	466	381	16	69
08022	331	270	8	53
08023	312	257	10	45
08024	224	175	6	43
08025	376	300	14	62
08026	394	312	18	64
08027	103	80	1	22
08029	442	339	17	86
08030	413	313	16	84
08031	293	216	11	66
08033	370	277	16	77
08034	335	268	8	59
08035	411	292	23	96
08037	323	235	12	76
08038	255	205	13	37
08040	307	242	7	58
08041	370	307	9	54
08043	204	164	1	39
08044	262	217	10	35
08045	401	330	16	55
08047	313	256	4	53
08048	370	288	16	66
08049	325	249	15	61
08050	256	205	5	46
08051	407	324	10	73
08052	481	355	17	109
08054	337	272	12	53
08055	295	242	9	44
08056	381	288	10	83
09012	382	291	7	84
09023	388	281	12	95
09024	379	289	9	81
09025	347	272	11	64
09036	326	262	7	57
09042	377	263	16	98
09047	381	259	7	115
09048	378	275	19	84
09049	393	284	12	97
09050	480	344	13	123
09051	355	246	9	100
13019	396	189	82	125
13041	45	28	8	9
16006	2	1	1	0
16009	303	252	11	40
16027	14	12	1	1
16028	289	238	11	40
16030	247	205	7	35
16031	67	57	1	9
16034	67	51	6	10
17001	297	195	52	50
17002	317	261	9	47
17003	333	287	10	36
17004	468	387	21	60
17005	305	253	11	41
17006	161	126	13	22
17008	352	301	11	40
17009	353	297	8	48
17010	373	285	17	71
17011	289	241	11	37
17012	147	103	22	22
17013	2	2	0	0
17015	382	311	16	55
17016	135	90	14	31
17017	324	267	12	45
17018	380	311	7	62
17020	437	359	7	71
17021	431	309	16	106
17022	307	247	12	48
17023	226	187	5	34
17024	402	335	7	60
17025	278	226	13	39
17026	396	332	13	51
17027	362	297	8	57
17028	301	262	7	32
17029	342	295	12	35
17030	264	163	50	51
17032	307	259	11	37
17033	85	70	4	11
17034	262	222	10	30
17035	250	213	5	32
17036	334	291	12	31
17037	318	278	10	30
17038	361	306	8	47
17039	339	263	8	68
17040	374	306	10	58
17041	400	337	9	54
18001	319	249	22	48
18002	287	188	58	41
18003	226	125	54	47
18004	370	282	10	78
18005	238	200	7	31
18006	231	139	37	55
18007	325	246	28	51
18008	359	270	17	72
18009	334	253	15	66
18010	466	342	22	102
18011	275	193	28	54
18012	327	259	12	56
18013	369	269	21	79
18014	370	292	11	67
18015	51	28	6	17
18016	349	275	14	60
18017	337	232	31	74
18018	310	229	12	69
18019	344	262	13	69
18020	293	229	9	55
18021	432	319	20	93
18022	431	333	9	89
18023	330	257	15	58
18026	439	329	18	92
18027	263	215	8	40
18028	252	141	43	68
18029	331	249	29	53
18031	361	271	32	58
18032	375	287	11	77
18033	313	254	8	51
18034	437	336	19	82
18035	404	314	13	77
18036	336	220	41	75
18037	389	276	18	95
18038	340	280	6	54
18039	258	182	25	51
18041	399	288	11	100
18042	282	219	17	46
18044	238	129	53	56
18045	290	173	50	67
18047	257	210	13	34
18048	293	241	12	40
18049	244	189	17	38
18050	270	218	15	37
19002	446	265	31	150
19005	256	136	27	93
19010	48	22	8	18
19011	47	10	20	17
19013	462	313	23	126
19014	356	208	35	113
19020	320	207	35	78
19025	74	37	9	28
19027	362	228	44	90
19028	432	310	22	100
