Precinct	total_votes	votes|Luis V. Gutierrez	votes|Javier Salas
01001	379	293	86
01002	362	280	82
01007	253	198	55
01009	292	220	72
01013	152	127	25
01015	278	204	74
01016	317	239	78
01017	341	267	74
01018	364	276	88
01019	458	362	96
01020	283	216	67
01022	256	199	57
01023	515	404	111
01024	332	247	85
01025	361	272	89
01026	295	214	81
01027	331	270	61
01029	309	227	82
01030	383	295	88
01031	353	268	85
01034	317	238	79
01038	258	201	57
01041	234	163	71
01042	103	81	22
01043	252	198	54
01044	296	232	64
11003	305	223	82
11037	2	2	0
11038	175	122	53
12002	317	216	101
12003	84	47	37
12005	194	139	55
12006	310	228	82
12007	319	219	100
12008	352	246	106
12010	358	255	103
12011	358	260	98
12012	346	270	76
12013	359	234	125
12014	326	237	89
12015	228	172	56
12016	350	240	110
12017	366	258	108
12018	286	195	91
12019	2	1	1
12020	417	302	115
12021	341	259	82
12022	371	273	98
14002	430	316	114
14003	397	301	96
14005	388	296	92
14006	184	137	47
14010	234	169	65
14011	226	172	54
14013	278	206	72
14014	333	262	71
14015	412	321	91
14016	251	182	69
14017	284	218	66
14019	359	266	93
14020	236	168	68
14025	208	151	57
14027	312	231	81
14028	226	160	66
14030	192	150	42
14031	205	163	42
15001	6	5	1
15004	325	232	93
15005	258	196	62
15006	326	244	82
15008	181	131	50
15009	415	294	121
15010	435	311	124
15011	381	276	105
15012	386	289	97
15015	21	13	8
16001	25	21	4
22003	474	313	161
22004	293	200	93
22005	341	228	113
22006	312	199	113
22007	246	166	80
22009	288	199	89
22010	453	307	146
22011	270	186	84
22013	347	246	101
22014	162	122	40
22015	286	211	75
22016	333	220	113
22017	334	238	96
22018	320	234	86
22019	2	2	0
22020	344	254	90
22022	300	222	78
22024	413	301	112
22025	335	235	100
23009	163	120	43
23013	265	203	62
23015	17	12	5
23024	274	193	81
23026	22	17	5
23034	124	94	30
23039	203	151	52
24016	101	66	35
25001	343	238	105
25002	381	264	117
25005	383	242	141
25007	372	278	94
25008	407	274	133
25009	427	310	117
25011	427	293	134
25012	350	251	99
25013	416	288	128
25014	27	17	10
25015	366	276	90
25017	392	292	100
25019	402	301	101
25022	388	282	106
25023	440	332	108
25024	401	291	110
25026	405	283	122
25027	26	17	9
25028	424	299	125
25030	393	284	109
25032	325	226	99
26001	156	120	36
26002	253	193	60
26005	274	204	70
26006	267	195	72
26007	232	177	55
26008	159	115	44
26009	249	187	62
26010	76	47	29
26011	279	224	55
26012	285	207	78
26013	207	164	43
26014	224	164	60
26015	164	142	22
26016	176	130	46
26018	246	192	54
26020	250	190	60
26022	175	139	36
26023	190	158	32
26024	244	198	46
26025	229	166	63
26026	186	143	43
26027	213	153	60
26029	167	126	41
26030	216	174	42
26031	130	98	32
26033	71	58	13
26034	309	233	76
26035	234	176	58
26036	47	38	9
26037	322	249	73
26038	144	113	31
26039	133	99	34
26040	177	142	35
26041	283	223	60
