Precinct	total_votes	votes|Janice D. Schakowsky
40004	166	166
40009	210	210
40010	211	211
40018	240	240
40022	318	318
40025	14	14
40026	359	359
40027	453	453
40028	399	399
40031	252	252
40033	343	343
40035	206	206
40036	277	277
40037	314	314
40039	89	89
41001	195	195
41002	227	227
41004	254	254
41005	262	262
41007	244	244
41008	199	199
41010	254	254
41011	152	152
41013	215	215
41015	283	283
41017	32	32
41018	209	209
41020	175	175
41023	82	82
41025	140	140
41028	201	201
41029	145	145
41031	245	245
41033	33	33
41034	185	185
41036	217	217
41037	254	254
41040	226	226
41041	214	214
41042	203	203
41043	220	220
41044	219	219
41045	121	121
44003	230	230
44004	300	300
44007	230	230
44024	230	230
44035	368	368
46001	242	242
46002	300	300
46004	318	318
46005	3	3
46006	270	270
46007	371	371
46008	238	238
46009	359	359
46011	284	284
46012	311	311
46013	335	335
46014	304	304
46015	316	316
46016	189	189
46017	344	344
46018	332	332
46020	284	284
46021	221	221
46022	230	230
46023	268	268
46024	266	266
46025	311	311
46026	339	339
46027	360	360
46029	256	256
46032	307	307
46034	333	333
46035	396	396
46037	202	202
46038	15	15
46040	295	295
47015	458	458
47019	464	464
47023	423	423
47030	110	110
48001	304	304
48002	164	164
48003	424	424
48004	350	350
48005	202	202
48006	416	416
48007	364	364
48008	167	167
48009	218	218
48010	509	509
48011	312	312
48012	419	419
48013	407	407
48014	183	183
48015	218	218
48016	322	322
48017	334	334
48018	274	274
48019	254	254
48020	435	435
48021	390	390
48022	306	306
48023	364	364
48024	317	317
48025	356	356
48026	178	178
48027	456	456
48028	335	335
48029	192	192
48030	332	332
48031	472	472
48032	377	377
48033	199	199
48034	311	311
48035	230	230
48036	222	222
48037	349	349
48038	382	382
48039	281	281
48040	347	347
48041	425	425
48042	436	436
48043	367	367
48044	455	455
48045	315	315
48046	242	242
49001	265	265
49002	240	240
49003	391	391
49004	471	471
49005	364	364
49006	348	348
49007	369	369
49008	285	285
49009	375	375
49010	349	349
49011	426	426
49012	502	502
49013	435	435
49014	324	324
49015	282	282
49016	368	368
49017	239	239
49018	492	492
49019	322	322
49020	566	566
49021	227	227
49022	375	375
49023	464	464
49024	302	302
49025	515	515
49026	405	405
49027	440	440
49028	480	480
49029	465	465
49030	394	394
49031	299	299
49032	383	383
49033	331	331
50001	162	162
50002	130	130
50003	174	174
50004	243	243
50005	109	109
50006	283	283
50007	317	317
50008	247	247
50009	199	199
50010	177	177
50011	83	83
50012	93	93
50013	288	288
50014	64	64
50015	332	332
50016	67	67
50017	171	171
50018	32	32
50019	156	156
50020	269	269
50021	219	219
50022	149	149
50023	127	127
50025	125	125
50026	224	224
50027	70	70
50028	256	256
50029	199	199
50030	170	170
50031	277	277
50032	268	268
50033	117	117
50034	306	306
50035	334	334
50036	236	236
50037	278	278
50038	128	128
50039	140	140
50040	131	131
