Precinct	total_votes	votes|Richard F. Mell	votes|Aaron Goldstein
33001	379	189	190
33002	430	232	198
33003	444	182	262
33004	457	251	206
33005	273	156	117
33006	369	260	109
33007	317	164	153
33008	498	138	360
33009	353	188	165
33010	329	187	142
33011	376	196	180
33012	391	267	124
33013	390	221	169
33014	176	94	82
33015	437	242	195
33016	511	287	224
33017	390	180	210
33018	412	179	233
33019	364	188	176
33020	455	162	293
33021	401	198	203
33022	429	290	139
33023	387	175	212
33024	500	172	328
33025	442	171	271
33026	284	122	162
33027	336	143	193
33028	334	173	161
