Precinct	total_votes	votes|James Cappleman
46001	195	195
46002	259	259
46003	316	316
46004	275	275
46005	265	265
46006	214	214
46007	303	303
46008	185	185
46009	299	299
46010	345	345
46011	214	214
46012	272	272
46013	267	267
46014	253	253
46015	244	244
46016	310	310
46017	299	299
46018	268	268
46019	177	177
46020	247	247
46021	179	179
46022	139	139
46023	240	240
46024	266	266
46025	262	262
46026	278	278
46027	318	318
46028	275	275
46029	220	220
46030	272	272
46031	247	247
46032	248	248
46033	308	308
46034	288	288
46035	339	339
46036	240	240
46037	159	159
46038	234	234
46039	247	247
46040	242	242
