Precinct	total_votes	votes|Deborah Sims
09001	195	195
09002	255	255
09003	255	255
09004	253	253
09005	334	334
09006	322	322
09007	285	285
09009	351	351
09011	224	224
09013	394	394
09014	417	417
09015	360	360
09016	310	310
09017	139	139
09018	246	246
09019	319	319
09022	340	340
09026	383	383
09028	212	212
09029	302	302
09031	260	260
09032	344	344
09033	258	258
09034	250	250
09035	335	335
09037	22	22
09038	363	363
09039	376	376
09040	368	368
09041	285	285
09043	303	303
09044	306	306
09045	265	265
09046	306	306
34001	387	387
34002	305	305
34003	364	364
34004	267	267
34005	307	307
34006	408	408
34007	416	416
34008	291	291
34009	243	243
34010	343	343
34011	304	304
34012	388	388
34013	341	341
34014	271	271
34015	324	324
34016	302	302
34017	450	450
34018	266	266
34019	376	376
34020	418	418
34021	425	425
34022	366	366
34023	291	291
34024	327	327
34025	531	531
34026	384	384
34027	297	297
34028	236	236
34029	278	278
34030	348	348
34031	295	295
34032	353	353
34033	289	289
34034	378	378
34035	390	390
34036	312	312
34037	219	219
34038	168	168
34039	252	252
34040	385	385
34041	212	212
34042	355	355
34043	327	327
34044	364	364
34045	377	377
34046	244	244
34047	343	343
34048	369	369
34049	328	328
34050	291	291
34051	373	373
34052	265	265
34053	224	224
Bloom 3	154	154
Bloom 4	359	359
Bloom 6	179	179
Bloom 10	184	184
Bloom 12	421	421
Bloom 13	727	727
Bloom 17	353	353
Bloom 21	123	123
Bloom 23	13	13
Bloom 25	287	287
Bloom 28	351	351
Bloom 29	172	172
Bloom 31	365	365
Bloom 37	289	289
Bloom 39	284	284
Bloom 42	434	434
Bloom 46	160	160
Bloom 49	509	509
Bloom 51	220	220
Bloom 52	316	316
Bloom 54	380	380
Bloom 56	148	148
Bloom 60	410	410
Bloom 61	305	305
Bremen 1	405	405
Bremen 2	20	20
Bremen 3	3	3
Bremen 4	225	225
Bremen 5	242	242
Bremen 6	276	276
Bremen 7	262	262
Bremen 8	355	355
Bremen 12	347	347
Bremen 14	293	293
Bremen 15	268	268
Bremen 17	406	406
Bremen 18	142	142
Bremen 19	164	164
Bremen 21	465	465
Bremen 23	147	147
Bremen 25	427	427
Bremen 28	254	254
Bremen 29	636	636
Bremen 30	42	42
Bremen 31	426	426
Bremen 32	398	398
Bremen 35	285	285
Bremen 37	228	228
Bremen 38	355	355
Bremen 39	283	283
Bremen 40	671	671
Bremen 41	219	219
Bremen 43	278	278
Bremen 44	378	378
Bremen 45	206	206
Bremen 47	391	391
Bremen 48	360	360
Bremen 49	393	393
Bremen 51	576	576
Bremen 52	265	265
Bremen 55	336	336
Bremen 56	494	494
Bremen 61	308	308
Bremen 62	0	0
Bremen 63	587	587
Bremen 65	201	201
Bremen 66	375	375
Bremen 70	287	287
Bremen 71	331	331
Bremen 74	380	380
Bremen 78	408	408
Bremen 80	419	419
Calumet 1	400	400
Calumet 2	355	355
Calumet 3	426	426
Calumet 4	393	393
Calumet 5	375	375
Calumet 6	626	626
Calumet 7	477	477
Calumet 8	277	277
Calumet 9	336	336
Calumet 10	484	484
Calumet 11	626	626
Calumet 12	330	330
Rich 2	524	524
Rich 3	723	723
Rich 5	652	652
Rich 6	741	741
Rich 8	837	837
Rich 15	853	853
Rich 21	608	608
Rich 27	577	577
Rich 29	474	474
Rich 31	287	287
Rich 32	685	685
Rich 35	397	397
Rich 39	569	569
Rich 41	352	352
Rich 42	514	514
Rich 45	676	676
Rich 46	798	798
Rich 47	794	794
Thornton 4	532	532
Thornton 15	412	412
Thornton 22	411	411
Thornton 26	391	391
Thornton 28	324	324
Thornton 29	259	259
Thornton 30	253	253
Thornton 31	112	112
Thornton 32	319	319
Thornton 33	404	404
Thornton 36	215	215
Thornton 39	344	344
Thornton 42	293	293
Thornton 44	294	294
Thornton 46	490	490
Thornton 49	225	225
Thornton 52	436	436
Thornton 59	313	313
Thornton 60	278	278
Thornton 69	320	320
Thornton 70	214	214
Thornton 71	242	242
Thornton 77	669	669
Thornton 93	308	308
Thornton 95	331	331
Thornton 96	334	334
Thornton 97	172	172
Thornton 98	157	157
Thornton 100	258	258
Thornton 101	371	371
Thornton 102	233	233
Thornton 103	256	256
Thornton 104	173	173
Thornton 106	308	308
Thornton 108	245	245
Thornton 109	298	298
Thornton 110	284	284
Thornton 111	315	315
Thornton 112	228	228
Thornton 113	217	217
Thornton 116	459	459
Thornton 119	415	415
Worth 9	437	437
Worth 14	387	387
Worth 17	476	476
Worth 19	383	383
Worth 20	194	194
Worth 24	219	219
Worth 43	296	296
Worth 68	377	377
