Precinct	total_votes	votes|Alma E. Anaya
11003	374	374
11007	310	310
11033	453	453
11037	99	99
11038	202	202
12001	325	325
12002	287	287
12003	441	441
12004	362	362
12005	266	266
12006	342	342
12007	323	323
12008	354	354
12009	268	268
12010	408	408
12011	334	334
12012	336	336
12013	322	322
12014	313	313
12015	255	255
12016	307	307
12017	327	327
12018	288	288
12019	80	80
12020	390	390
12021	316	316
12022	275	275
12023	47	47
13003	248	248
13005	38	38
13015	426	426
13028	234	234
13030	180	180
13034	388	388
13035	59	59
13039	42	42
13040	48	48
13046	108	108
14003	341	341
14005	468	468
14006	156	156
14010	217	217
14011	199	199
14014	305	305
14015	365	365
14016	220	220
14017	268	268
14019	298	298
14020	229	229
14021	308	308
14025	193	193
14026	252	252
14029	261	261
14030	187	187
14031	195	195
15001	292	292
15004	307	307
15005	277	277
15006	285	285
15008	260	260
15009	372	372
15010	408	408
15011	337	337
15012	359	359
15013	288	288
15014	263	263
15015	232	232
15016	236	236
15019	260	260
16001	349	349
16013	130	130
16017	173	173
16023	192	192
16032	283	283
16035	318	318
17007	8	8
17012	351	351
17014	360	360
20015	276	276
20017	89	89
20020	217	217
22001	188	188
22002	355	355
22003	428	428
22004	253	253
22005	291	291
22006	297	297
22007	226	226
22008	408	408
22009	250	250
22010	403	403
22011	244	244
22012	268	268
22013	302	302
22014	224	224
22015	253	253
22016	272	272
22017	316	316
22018	275	275
22020	279	279
22022	287	287
22023	403	403
22024	324	324
22025	315	315
23005	319	319
23007	254	254
23009	263	263
23010	196	196
23011	333	333
23013	281	281
23015	265	265
23017	207	207
23019	262	262
23020	173	173
23024	267	267
23026	217	217
23030	347	347
23031	248	248
23032	302	302
23033	317	317
23034	289	289
23039	323	323
24007	185	185
24016	381	381
25001	322	322
25002	468	468
25005	410	410
25007	428	428
25008	455	455
25009	398	398
25011	442	442
25012	410	410
25013	478	478
25014	21	21
25015	354	354
25017	462	462
25019	435	435
25022	396	396
25023	468	468
25024	412	412
25026	359	359
25027	28	28
25028	422	422
25030	394	394
25032	327	327
28019	3	3
28034	18	18
