Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
01001	577	488	53	24	12
01002	470	421	32	14	3
01003	648	549	87	10	2
01004	628	503	98	22	5
01005	655	550	91	11	3
01006	558	442	101	12	3
01007	406	339	54	11	2
01008	505	411	83	7	4
01009	448	376	52	18	2
01010	741	589	138	11	3
01011	667	535	109	14	9
01012	669	539	112	13	5
01013	256	216	32	8	0
01014	537	443	77	16	1
01015	513	424	78	10	1
01016	665	581	68	14	2
01017	480	428	39	8	5
01018	527	476	38	12	1
01019	641	555	70	12	4
01020	446	392	37	15	2
01021	782	645	120	13	4
01022	369	321	36	11	1
01023	765	679	62	21	3
01024	488	442	33	10	3
01025	555	481	58	13	3
01026	343	304	26	9	4
01027	608	496	89	19	4
01028	160	147	9	1	3
01029	677	562	87	23	5
01030	597	527	51	14	5
01031	520	420	76	22	2
01032	546	426	100	14	6
01033	654	523	113	11	7
01034	445	383	47	14	1
01035	700	558	114	26	2
01036	594	462	117	11	4
01037	585	449	112	18	6
01038	529	434	66	22	7
01039	497	418	67	11	1
01040	561	436	107	15	3
01041	328	285	32	9	2
01042	181	151	23	4	3
01043	352	298	43	9	2
01044	506	435	59	9	3
02001	647	523	95	23	6
02002	465	313	138	5	9
02003	670	532	114	16	8
02004	520	431	78	8	3
02005	693	560	110	19	4
02006	555	443	85	19	8
02007	553	424	104	14	11
02008	690	540	111	32	7
02009	540	345	177	15	3
02010	509	301	197	3	8
02011	629	393	226	7	3
02012	542	423	106	10	3
02013	506	345	151	4	6
02014	613	477	118	14	4
02015	563	457	87	14	5
02016	522	439	65	14	4
02017	675	550	107	13	5
02018	571	397	161	9	4
02019	451	273	170	2	6
02020	667	463	189	13	2
02021	609	502	89	14	4
02022	633	420	204	6	3
02023	421	249	169	1	2
02024	544	378	149	11	6
02025	618	483	116	16	3
02026	533	376	149	4	4
02027	544	346	177	14	7
02028	659	454	184	15	6
02029	659	459	185	7	8
02030	491	300	173	9	9
02031	680	422	239	12	7
02032	458	307	138	12	1
02033	866	569	274	12	11
02034	475	298	166	8	3
02035	754	514	223	13	4
02036	653	455	178	14	6
02037	537	370	144	16	7
02038	548	331	207	7	3
02039	414	241	160	7	6
02040	803	581	203	11	8
02041	596	422	159	8	7
02042	652	462	169	13	8
02043	793	514	262	13	4
02044	364	235	121	4	4
02045	673	478	166	22	7
02046	329	209	105	11	4
03001	643	610	17	12	4
03002	577	551	15	9	2
03003	460	405	47	5	3
03004	545	515	17	9	4
03005	304	281	10	7	6
03006	742	523	199	14	6
03007	318	298	10	6	4
03008	416	391	12	10	3
03009	518	470	24	12	12
03010	233	224	7	0	2
03011	513	491	10	8	4
03012	505	463	26	8	8
03013	625	479	127	11	8
03014	605	511	81	10	3
03015	474	451	8	11	4
03016	424	388	19	13	4
03017	743	639	76	26	2
03018	746	689	29	22	6
03019	646	447	186	11	2
03020	520	488	14	12	6
03021	613	475	126	3	9
03022	746	584	139	15	8
03023	440	414	18	6	2
03024	423	402	6	10	5
03025	961	690	255	12	4
03026	632	473	150	5	4
03027	719	521	173	16	9
03028	322	300	9	6	7
03029	500	456	24	15	5
03030	436	417	13	6	0
03031	546	517	12	11	6
03032	672	545	110	9	8
03033	676	523	134	13	6
03034	703	574	104	15	10
03035	244	227	11	5	1
