Precinct	total_votes	votes|Yes	votes|No
01001	552	504	48
01002	436	412	24
01003	582	522	60
01004	555	490	65
01005	604	553	51
01006	518	442	76
01007	382	353	29
01008	426	373	53
01009	375	334	41
01010	695	602	93
01011	634	545	89
01012	619	566	53
01013	239	215	24
01014	494	447	47
01015	461	419	42
01016	624	571	53
01017	442	418	24
01018	494	457	37
01019	536	485	51
01020	424	400	24
01021	711	631	80
01022	336	306	30
01023	751	690	61
01024	434	410	24
01025	525	490	35
01026	310	297	13
01027	536	469	67
01028	106	96	10
01029	642	576	66
01030	552	516	36
01031	487	435	52
01032	501	442	59
01033	607	532	75
01034	416	377	39
01035	647	568	79
01036	552	472	80
01037	538	462	76
01038	502	442	60
01039	467	420	47
01040	499	433	66
01041	303	276	27
01042	174	156	18
01043	325	287	38
01044	486	446	40
02001	595	499	96
02002	428	364	64
02003	606	517	89
02004	482	423	59
02005	654	574	80
02006	530	462	68
02007	494	419	75
02008	624	546	78
02009	506	402	104
02010	434	330	104
02011	567	461	106
02012	461	406	55
02013	453	374	79
02014	582	521	61
02015	522	459	63
02016	478	428	50
02017	644	581	63
02018	499	421	78
02019	389	300	89
02020	616	490	126
02021	541	488	53
02022	555	440	115
02023	370	287	83
02024	476	393	83
02025	587	507	80
02026	485	393	92
02027	479	372	107
02028	599	464	135
02029	601	501	100
02030	449	357	92
02031	618	509	109
02032	433	359	74
02033	793	637	156
02034	424	322	102
02035	711	579	132
02036	585	469	116
02037	469	392	77
02038	484	383	101
02039	353	291	62
02040	720	603	117
02041	547	449	98
02042	578	494	84
02043	706	565	141
02044	328	268	60
02045	607	520	87
02046	306	227	79
03001	585	561	24
03002	538	511	27
03003	361	339	22
03004	514	493	21
03005	270	257	13
03006	681	558	123
03007	276	263	13
03008	363	343	20
03009	460	438	22
03010	174	169	5
03011	460	441	19
03012	470	450	20
03013	585	508	77
03014	551	496	55
03015	344	325	19
03016	362	350	12
03017	692	625	67
03018	670	638	32
03019	598	488	110
03020	495	478	17
03021	553	468	85
03022	697	611	86
03023	399	375	24
03024	388	375	13
03025	902	740	162
03026	577	471	106
03027	664	555	109
03028	297	283	14
03029	436	407	29
03030	372	360	12
03031	500	481	19
03032	612	538	74
03033	623	533	90
03034	645	551	94
03035	232	217	15
03036	241	227	14
03037	423	406	17
03038	370	355	15
03039	828	702	126
03040	491	439	52
03041	337	302	35
04001	756	703	53
04002	683	594	89
04003	396	376	20
04004	649	613	36
04005	474	451	23
04006	506	479	27
04007	574	550	24
04008	512	495	17
04009	530	511	19
04010	619	578	41
04011	505	470	35
04012	574	546	28
04013	648	568	80
04014	506	487	19
04015	611	586	25
04016	879	771	108
04017	656	580	76
04018	469	448	21
04019	341	330	11
04020	474	424	50
04021	709	636	73
04022	523	492	31
04023	686	645	41
04024	444	412	32
04025	590	500	90
04026	448	430	18
04027	662	630	32
04028	420	404	16
04029	428	409	19
04030	655	627	28
04031	496	472	24
04032	567	540	27
04033	501	476	25
04034	420	407	13
04035	584	562	22
04036	550	520	30
04037	960	844	116
04038	540	520	20
05001	378	360	18
05002	315	307	8
05003	549	517	32
05004	642	604	38
05005	403	386	17
05006	356	337	19
05007	487	462	25
05008	501	465	36
05009	562	537	25
05010	350	332	18
05011	518	493	25
05012	303	290	13
05013	381	357	24
05014	360	347	13
05015	443	408	35
05016	419	404	15
05017	340	325	15
05018	460	438	22
05019	459	431	28
05020	547	523	24
05021	541	506	35
05022	539	506	33
05023	825	772	53
05024	547	516	31
05025	424	408	16
05026	447	426	21
05027	580	519	61
05028	489	460	29
05029	479	455	24
05030	273	258	15
05031	342	326	16
05032	573	550	23
05033	466	452	14
05034	561	507	54
05035	599	564	35
05036	254	248	6
05037	526	499	27
05038	398	383	15
05039	393	350	43
05040	324	310	14
05041	268	257	11
06001	396	386	10
06002	365	354	11
06003	381	368	13
06004	283	272	11
06005	225	216	9
06006	403	396	7
06007	340	324	16
06008	376	362	14
06009	319	306	13
06010	216	205	11
06011	320	309	11
06012	265	257	8
06013	283	276	7
06014	274	269	5
06015	279	268	11
06016	374	363	11
06017	232	223	9
06018	227	216	11
06019	332	320	12
06020	211	202	9
06021	200	190	10
06022	224	213	11
06023	187	181	6
06024	178	168	10
06025	178	166	12
06026	252	242	10
06027	203	193	10
06028	165	156	9
06029	378	362	16
06030	289	276	13
06031	371	355	16
