Precinct	total_votes	votes|Thomas J. Dart
01001	523	523
01002	418	418
01003	569	569
01004	544	544
01005	578	578
01006	466	466
01007	353	353
01008	424	424
01009	356	356
01010	628	628
01011	589	589
01012	554	554
01013	226	226
01014	452	452
01015	438	438
01016	582	582
01017	419	419
01018	466	466
01019	555	555
01020	398	398
01021	658	658
01022	316	316
01023	670	670
01024	406	406
01025	471	471
01026	301	301
01027	518	518
01028	112	112
01029	590	590
01030	516	516
01031	426	426
01032	469	469
01033	549	549
01034	387	387
01035	586	586
01036	489	489
01037	498	498
01038	445	445
01039	431	431
01040	454	454
01041	288	288
01042	157	157
01043	305	305
01044	435	435
02001	551	551
02002	360	360
02003	568	568
02004	436	436
02005	584	584
02006	492	492
02007	464	464
02008	558	558
02009	420	420
02010	385	385
02011	508	508
02012	460	460
02013	429	429
02014	524	524
02015	478	478
02016	447	447
02017	586	586
02018	467	467
02019	334	334
02020	529	529
02021	518	518
02022	504	504
02023	338	338
02024	441	441
02025	522	522
02026	406	406
02027	407	407
02028	528	528
02029	546	546
02030	413	413
02031	555	555
02032	362	362
02033	678	678
02034	379	379
02035	595	595
02036	523	523
02037	456	456
02038	428	428
02039	285	285
02040	656	656
02041	481	481
02042	539	539
02043	636	636
02044	290	290
02045	557	557
02046	253	253
03001	586	586
03002	568	568
03003	403	403
03004	504	504
03005	289	289
03006	601	601
03007	299	299
03008	371	371
03009	470	470
03010	218	218
03011	475	475
03012	465	465
03013	518	518
03014	529	529
03015	424	424
03016	399	399
03017	649	649
03018	673	673
03019	533	533
03020	490	490
03021	533	533
03022	635	635
03023	401	401
03024	391	391
03025	763	763
03026	521	521
03027	599	599
03028	303	303
03029	443	443
03030	404	404
03031	508	508
03032	554	554
03033	563	563
03034	595	595
03035	221	221
03036	250	250
03037	427	427
03038	373	373
03039	761	761
03040	494	494
03041	315	315
04001	725	725
04002	624	624
04003	396	396
04004	655	655
04005	473	473
04006	567	567
04007	571	571
04008	514	514
04009	558	558
04010	610	610
04011	501	501
04012	563	563
04013	592	592
04014	512	512
04015	606	606
04016	841	841
04017	637	637
04018	464	464
04019	374	374
04020	446	446
04021	686	686
04022	500	500
04023	649	649
04024	454	454
04025	539	539
04026	471	471
04027	646	646
04028	410	410
04029	419	419
04030	668	668
04031	507	507
04032	541	541
04033	497	497
04034	427	427
04035	578	578
04036	563	563
04037	884	884
04038	526	526
05001	380	380
05002	315	315
05003	506	506
05004	633	633
05005	417	417
05006	347	347
05007	492	492
05008	485	485
05009	572	572
05010	350	350
05011	499	499
05012	294	294
05013	388	388
05014	363	363
05015	433	433
05016	428	428
05017	382	382
05018	450	450
05019	437	437
05020	548	548
05021	511	511
05022	538	538
05023	804	804
05024	524	524
05025	421	421
05026	453	453
05027	541	541
05028	488	488
05029	471	471
05030	303	303
05031	346	346
05032	566	566
05033	492	492
05034	546	546
05035	567	567
05036	263	263
05037	524	524
05038	394	394
05039	377	377
05040	326	326
05041	266	266
06001	404	404
06002	393	393
06003	417	417
06004	295	295
06005	256	256
06006	396	396
06007	338	338
06008	373	373
06009	332	332
06010	216	216
06011	324	324
06012	269	269
06013	293	293
06014	348	348
06015	301	301
06016	378	378
06017	245	245
06018	271	271
06019	334	334
06020	216	216
06021	199	199
06022	218	218
06023	194	194
06024	187	187
06025	197	197
06026	273	273
06027	205	205
06028	174	174
06029	400	400
06030	287	287
06031	390	390
06032	345	345
06033	370	370
06034	383	383
06035	338	338
06036	440	440
06037	377	377
06038	388	388
06039	298	298
06040	332	332
06041	371	371
06042	371	371
06043	329	329
06044	352	352
06045	390	390
06046	252	252
06047	264	264
06048	390	390
07001	318	318
07002	336	336
07003	377	377
07004	375	375
07005	299	299
07006	446	446
07007	349	349
07008	291	291
07009	609	609
07010	396	396
07011	378	378
07012	330	330
07013	217	217
07014	377	377
07015	338	338
07016	271	271
07017	295	295
07018	313	313
07019	330	330
07020	270	270
07021	269	269
07022	301	301
07023	349	349
07024	293	293
07025	280	280
07026	289	289
07027	288	288
07028	256	256
07029	290	290
07030	251	251
07031	231	231
07032	468	468
07033	473	473
07034	419	419
07035	366	366
07036	421	421
07037	374	374
07038	308	308
07039	325	325
07040	301	301
07041	352	352
07042	295	295
07043	348	348
07044	304	304
07045	329	329
07046	151	151
08001	311	311
08002	344	344
08003	426	426
08004	427	427
08005	416	416
08006	383	383
08007	423	423
08008	371	371
08009	253	253
08010	473	473
08011	315	315
08012	316	316
08013	420	420
08014	262	262
08015	332	332
08016	111	111
08017	335	335
08018	345	345
08019	400	400
08020	421	421
08021	461	461
08022	345	345
08023	309	309
08024	233	233
08025	364	364
08026	341	341
08027	415	415
08028	385	385
08029	419	419
08030	378	378
08031	270	270
08032	308	308
08033	351	351
08034	345	345
08035	411	411
08036	400	400
08037	310	310
08038	247	247
08039	371	371
08040	286	286
08041	426	426
08042	452	452
08043	196	196
08044	256	256
08045	362	362
08046	289	289
08047	301	301
08048	342	342
08049	347	347
08050	382	382
08051	399	399
08052	460	460
08053	212	212
08054	300	300
08055	294	294
08056	370	370
09001	350	350
09002	311	311
09003	255	255
09004	276	276
09005	336	336
09006	328	328
09007	282	282
09008	345	345
09009	371	371
09010	283	283
09011	230	230
09012	389	389
09013	401	401
09014	418	418
09015	369	369
09016	311	311
09017	233	233
09018	249	249
09019	325	325
09020	338	338
09021	295	295
09022	357	357
09023	398	398
09024	359	359
09025	353	353
09026	376	376
09027	299	299
09028	214	214
09029	311	311
09030	286	286
09031	268	268
09032	348	348
09033	258	258
09034	248	248
09035	353	353
09036	278	278
09037	471	471
09038	365	365
09039	381	381
09040	383	383
09041	277	277
09042	352	352
09043	313	313
09044	303	303
09045	278	278
09046	347	347
09047	368	368
09048	395	395
09049	368	368
09050	454	454
09051	342	342
10001	316	316
10002	298	298
10003	312	312
10004	250	250
10005	235	235
10006	251	251
10007	233	233
10008	211	211
10009	258	258
10010	311	311
10011	368	368
10012	201	201
10013	301	301
10014	389	389
10015	643	643
10016	238	238
10017	396	396
10018	216	216
10019	309	309
10020	332	332
10021	320	320
10022	189	189
10023	280	280
10024	298	298
10025	97	97
10026	242	242
10027	315	315
10028	346	346
10029	286	286
10030	279	279
10031	235	235
10032	307	307
10033	223	223
10034	234	234
10035	345	345
10036	88	88
11001	343	343
11002	31	31
11003	385	385
11004	315	315
11005	477	477
11006	603	603
11007	614	614
11008	371	371
11009	295	295
11010	316	316
11011	394	394
11012	450	450
11013	383	383
11014	176	176
11015	140	140
11016	244	244
11017	471	471
11018	264	264
11019	472	472
11020	240	240
11021	451	451
11022	418	418
11023	223	223
11024	408	408
11025	477	477
11026	405	405
11027	124	124
11028	160	160
11029	382	382
11030	177	177
11031	360	360
11032	158	158
11033	468	468
11034	112	112
11035	94	94
11036	157	157
11037	98	98
11038	206	206
12001	327	327
12002	272	272
12003	437	437
12004	358	358
12005	276	276
12006	328	328
12007	307	307
12008	350	350
12009	269	269
12010	399	399
12011	333	333
12012	330	330
12013	319	319
12014	299	299
12015	249	249
12016	287	287
12017	318	318
12018	260	260
12019	314	314
12020	392	392
12021	317	317
12022	268	268
12023	334	334
13001	243	243
13002	244	244
13003	244	244
13004	265	265
13005	361	361
13006	275	275
13007	227	227
13008	240	240
13009	313	313
13010	254	254
13011	312	312
13012	261	261
13013	286	286
13014	301	301
13015	417	417
13016	205	205
