Precinct	total_votes	votes|Michael P. McAuliffe
38002	391	391
38007	87	87
38012	323	323
38017	47	47
38020	317	317
38024	1	1
38028	371	371
41001	331	331
41002	368	368
41003	186	186
41004	366	366
41005	392	392
41007	415	415
41008	374	374
41010	401	401
41011	396	396
41013	414	414
41015	449	449
41016	326	326
41017	342	342
41018	335	335
41020	265	265
41021	355	355
41022	410	410
41023	377	377
41025	212	212
41026	343	343
41027	275	275
41031	413	413
41033	346	346
41034	322	322
41035	439	439
41036	345	345
41037	400	400
41040	408	408
41041	382	382
41042	335	335
41043	375	375
41044	402	402
41045	335	335
41046	387	387
Leyden 1	208	208
Leyden 2	163	163
Leyden 12	573	573
Leyden 17	284	284
Leyden 18	196	196
Leyden 25	228	228
Leyden 27	69	69
Leyden 38	156	156
Leyden 42	349	349
Leyden 44	279	279
Leyden 45	254	254
Maine 5	159	159
Maine 23	270	270
Maine 27	261	261
Maine 28	131	131
Maine 29	606	606
Maine 30	981	981
Maine 39	346	346
Maine 41	296	296
Maine 43	358	358
Maine 45	118	118
Maine 49	323	323
Maine 55	339	339
Maine 57	173	173
Maine 59	358	358
Maine 60	626	626
Maine 66	193	193
Maine 70	285	285
Maine 82	310	310
Maine 85	221	221
Maine 88	286	286
Maine 91	516	516
Maine 92	210	210
Niles 9	302	302
Niles 13	187	187
Norwood Park 5	361	361
Norwood Park 6	537	537
Norwood Park 7	309	309
Norwood Park 8	260	260
Norwood Park 9	245	245
Norwood Park 10	299	299
Norwood Park 13	305	305
Norwood Park 17	365	365
