Precinct	total_votes	votes|Elizabeth ''Lisa'' Hernandez
12016	9	9
22003	433	433
22004	147	147
22005	282	282
22006	286	286
22007	172	172
22009	254	254
22010	14	14
22011	248	248
22013	121	121
22015	40	40
22016	9	9
22017	261	261
22018	109	109
22020	274	274
22024	322	322
22025	303	303
Berwyn Ward 1 Precinct 1	289	289
Berwyn Ward 1 Precinct 2	328	328
Berwyn Ward 1 Precinct 3	537	537
Berwyn Ward 1 Precinct 4	301	301
Berwyn Ward 1 Precinct 5	302	302
Berwyn Ward 2 Precinct 1	257	257
Berwyn Ward 2 Precinct 2	316	316
Berwyn Ward 2 Precinct 3	474	474
Berwyn Ward 2 Precinct 4	565	565
Berwyn Ward 3 Precinct 1	288	288
Berwyn Ward 3 Precinct 2	290	290
Berwyn Ward 3 Precinct 4	390	390
Berwyn Ward 3 Precinct 5	515	515
Berwyn Ward 4 Precinct 1	251	251
Berwyn Ward 4 Precinct 2	406	406
Berwyn Ward 4 Precinct 3	457	457
Berwyn Ward 4 Precinct 4	257	257
Berwyn Ward 5 Precinct 1	609	609
Berwyn Ward 5 Precinct 3	335	335
Berwyn Ward 6 Precinct 1	209	209
Berwyn Ward 6 Precinct 2	302	302
Berwyn Ward 6 Precinct 4	464	464
Cicero 5	480	480
Cicero 7	277	277
Cicero 10	463	463
Cicero 11	431	431
Cicero 12	341	341
Cicero 13	117	117
Cicero 14	371	371
Cicero 19	553	553
Cicero 21	389	389
Cicero 22	317	317
Cicero 25	361	361
Cicero 26	282	282
Cicero 27	157	157
Cicero 29	374	374
Cicero 32	346	346
Lyons 2	361	361
Lyons 45	610	610
Proviso 27	491	491
Riverside 1	256	256
Riverside 5	341	341
Riverside 11	410	410
Stickney 17	175	175
