Precinct	total_votes	votes|Robert ''Bob'' Rita
09001	188	188
09002	240	240
09004	183	183
09005	319	319
09006	307	307
09009	68	68
09013	84	84
09014	396	396
09017	133	133
09019	316	316
09022	336	336
09029	295	295
09031	206	206
09032	326	326
09034	236	236
09035	338	338
09038	106	106
09039	361	361
09040	356	356
09043	137	137
09044	55	55
34002	129	129
34003	347	347
34004	260	260
34006	387	387
34009	222	222
34011	286	286
34014	266	266
34015	29	29
34016	279	279
34018	259	259
34020	248	248
34022	342	342
34023	268	268
34024	306	306
34026	357	357
34027	290	290
34028	222	222
34030	335	335
34031	227	227
34033	264	264
34036	302	302
34037	202	202
34038	173	173
34039	243	243
34041	207	207
34042	330	330
34050	277	277
34051	202	202
34053	212	212
Bremen 1	4	4
Bremen 11	407	407
Bremen 13	371	371
Bremen 16	342	342
Bremen 17	376	376
Bremen 19	154	154
Bremen 20	278	278
Bremen 23	148	148
Bremen 25	213	213
Bremen 27	398	398
Bremen 30	342	342
Bremen 36	224	224
Bremen 46	315	315
Bremen 50	339	339
Bremen 53	209	209
Bremen 54	273	273
Bremen 58	415	415
Bremen 59	120	120
Bremen 60	297	297
Bremen 64	396	396
Bremen 65	192	192
Bremen 72	246	246
Bremen 76	279	279
Bremen 79	345	345
Calumet 1	415	415
Calumet 2	116	116
Calumet 3	426	426
Calumet 4	366	366
Calumet 5	376	376
Calumet 6	326	326
Calumet 7	462	462
Calumet 8	278	278
Calumet 9	342	342
Calumet 10	473	473
Calumet 11	626	626
Calumet 12	318	318
Orland 6	255	255
Orland 12	1	1
Orland 13	541	541
Orland 17	284	284
Orland 19	248	248
Orland 23	290	290
Orland 24	320	320
Orland 27	248	248
Orland 30	230	230
Orland 34	390	390
Orland 41	325	325
Orland 46	44	44
Orland 49	271	271
Orland 50	315	315
Orland 52	354	354
Orland 62	390	390
Orland 74	251	251
Thornton 31	59	59
Worth 24	222	222
Worth 43	139	139
