Precinct	total_votes	votes|Delia C. Ramirez
01001	522	522
01003	582	582
01004	567	567
01005	580	580
01006	469	469
01008	60	60
01010	640	640
01011	523	523
01014	469	469
01015	434	434
01017	365	365
01018	484	484
01020	403	403
01021	621	621
01022	323	323
01024	437	437
01025	494	494
01026	260	260
01027	532	532
01029	601	601
01030	526	526
01031	435	435
01032	357	357
01033	505	505
01035	596	596
01036	504	504
01037	279	279
01038	449	449
01039	442	442
01040	470	470
01044	449	449
02001	214	214
02003	579	579
02004	454	454
02005	599	599
02014	527	527
02015	73	73
02016	463	463
02017	84	84
02021	529	529
26001	363	363
26002	280	280
26003	388	388
26004	161	161
26005	310	310
26006	283	283
26008	169	169
26009	235	235
26010	294	294
26011	287	287
26012	362	362
26013	168	168
26014	258	258
26015	186	186
26016	178	178
26018	231	231
26019	100	100
26020	289	289
26021	389	389
26022	156	156
26023	212	212
26024	260	260
26025	306	306
26026	229	229
26027	414	414
26028	99	99
26029	201	201
26030	266	266
26031	135	135
26032	386	386
26033	372	372
26034	27	27
26035	282	282
26036	339	339
26038	134	134
26039	358	358
26040	238	238
26041	380	380
26042	281	281
26043	189	189
26044	185	185
26045	149	149
26047	209	209
26048	314	314
26049	185	185
27005	10	10
27007	549	549
27013	80	80
27024	26	26
27027	22	22
27040	67	67
27043	7	7
31004	122	122
31016	136	136
35003	297	297
35012	280	280
35013	268	268
35016	235	235
35019	69	69
35021	341	341
36012	106	106
37012	37	37
37022	8	8
