Precinct	total_votes	votes|Mattie Hunter
02027	106	106
02029	181	181
02032	364	364
02036	514	514
02038	258	258
02039	274	274
02040	659	659
02041	329	329
02042	287	287
02043	623	623
02045	551	551
03001	577	577
03002	533	533
03003	390	390
03005	272	272
03006	606	606
03007	296	296
03008	367	367
03009	465	465
03010	195	195
03011	261	261
03012	281	281
03013	515	515
03014	524	524
03015	422	422
03016	398	398
03017	672	672
03018	663	663
03020	478	478
03021	348	348
03022	651	651
03023	395	395
03024	380	380
03025	751	751
03026	518	518
03027	227	227
03028	292	292
03029	438	438
03031	231	231
03032	566	566
03033	582	582
03034	601	601
03035	223	223
03036	250	250
03037	419	419
03038	383	383
03039	777	777
03040	478	478
03041	317	317
04002	625	625
04006	400	400
04011	111	111
04013	607	607
04014	508	508
04016	831	831
04017	626	626
04020	436	436
04021	680	680
04025	539	539
04036	245	245
04037	895	895
04038	172	172
05002	314	314
05012	288	288
05013	11	11
05030	164	164
06007	8	8
06015	128	128
06018	24	24
06028	60	60
07001	11	11
07003	3	3
08001	281	281
08002	116	116
08009	243	243
08013	405	405
08016	110	110
08020	415	415
08021	403	403
08026	211	211
08028	374	374
08043	58	58
08054	170	170
08055	292	292
11012	411	411
11013	340	340
11021	421	421
11024	381	381
11028	144	144
11029	347	347
11031	338	338
11032	138	138
11034	108	108
11035	82	82
15001	281	281
15002	197	197
15003	175	175
15005	48	48
15007	86	86
15013	61	61
15014	2	2
15017	231	231
15018	182	182
15020	229	229
15021	194	194
15022	24	24
15023	237	237
15024	181	181
16002	171	171
16003	212	212
16004	256	256
16005	181	181
16006	107	107
16008	170	170
16009	265	265
16010	241	241
16012	218	218
16014	190	190
16015	272	272
16017	101	101
16018	275	275
16019	216	216
16020	205	205
16021	218	218
16022	208	208
16025	292	292
16026	196	196
16027	208	208
16028	226	226
16030	17	17
16031	254	254
16033	57	57
16034	231	231
16036	202	202
17001	0	0
17006	263	263
17008	122	122
17016	36	36
17017	6	6
17025	237	237
18050	101	101
20001	330	330
20002	140	140
20003	294	294
20004	156	156
20006	150	150
20007	363	363
20008	238	238
20010	224	224
20011	467	467
20012	277	277
20013	369	369
20014	169	169
20015	263	263
20017	189	189
20018	232	232
20019	353	353
20020	213	213
20021	232	232
20023	375	375
20025	231	231
20027	172	172
20029	381	381
20030	156	156
20031	401	401
20032	317	317
20033	200	200
20035	232	232
20036	117	117
20037	99	99
20038	113	113
20039	24	24
25014	0	0
25021	769	769
25027	236	236
27038	133	133
42005	432	432
42009	598	598
42010	671	671
42012	164	164
42014	647	647
42015	528	528
42017	668	668
42018	551	551
42019	361	361
42020	538	538
42021	423	423
42022	235	235
42023	520	520
42025	474	474
42027	346	346
42032	515	515
42033	589	589
42036	496	496
42037	377	377
42038	480	480
42039	734	734
42040	140	140
42041	361	361
42042	857	857
