Precinct	total_votes	votes|Joseph Berrios	votes|Frederick ''Fritz'' Kaegi	votes|Andrea A. Raila
01001	225	58	123	44
01002	169	64	69	36
01003	242	43	153	46
01004	230	46	132	52
01005	210	31	134	45
01006	187	50	103	34
01007	154	33	93	28
01008	189	52	91	46
01009	195	69	88	38
01010	203	29	140	34
01011	229	27	154	48
01012	264	61	149	54
01013	115	30	64	21
01014	221	51	130	40
01015	211	53	114	44
01016	235	48	139	48
01017	200	57	108	35
01018	237	65	125	47
01019	249	55	145	49
01020	186	42	105	39
01021	212	45	123	44
01022	153	29	90	34
01023	328	68	196	64
01024	200	53	95	52
01025	186	42	101	43
01026	138	47	56	35
01027	218	59	122	37
01028	89	51	16	22
01029	245	47	148	50
01030	260	86	130	44
01031	240	87	105	48
01032	209	43	118	48
01033	256	39	158	59
01034	199	28	121	50
01035	247	55	142	50
01036	191	32	122	37
01037	218	45	133	40
01038	206	56	106	44
01039	186	58	94	34
01040	226	81	102	43
01041	153	36	90	27
01042	63	13	39	11
01043	137	26	88	23
01044	206	30	136	40
02001	205	34	119	52
02002	195	40	117	38
02003	252	29	158	65
02004	170	18	109	43
02005	237	46	132	59
02006	178	44	93	41
02007	194	46	110	38
02008	216	41	134	41
02009	142	25	85	32
02010	202	37	144	21
02011	243	50	161	32
02012	229	74	114	41
02013	216	42	134	40
02014	252	33	164	55
02015	211	45	131	35
02016	188	40	106	42
02017	279	45	176	58
02018	203	37	136	30
02019	163	29	104	30
02020	165	30	100	35
02021	252	37	165	50
02022	210	37	134	39
02023	173	32	118	23
02024	213	55	111	47
02025	215	53	121	41
02026	150	36	81	33
02027	181	36	99	46
02028	204	44	120	40
02029	205	39	130	36
02030	173	32	108	33
02031	275	40	184	51
02032	147	28	86	33
02033	338	58	228	52
02034	235	39	166	30
02035	184	35	113	36
02036	177	28	99	50
02037	205	32	125	48
02038	183	32	121	30
02039	130	38	58	34
02040	205	54	94	57
02041	137	34	71	32
02042	162	37	87	38
02043	206	28	134	44
02044	128	22	87	19
02045	216	57	104	55
02046	116	30	68	18
03001	319	148	92	79
03002	379	190	104	85
03003	216	87	84	45
03004	284	114	96	74
03005	134	65	34	35
03006	267	67	146	54
03007	226	103	81	42
03008	187	79	51	57
03009	247	91	89	67
03010	123	63	33	27
03011	242	104	85	53
03012	321	148	98	75
03013	305	61	188	56
03014	227	60	111	56
03015	226	103	76	47
03016	207	85	75	47
03017	253	80	118	55
03018	298	105	115	78
03019	254	54	141	59
03020	259	96	97	66
03021	316	99	162	55
03022	258	44	149	65
03023	198	82	65	51
03024	218	102	74	42
03025	374	84	224	66
03026	353	87	186	80
03027	257	67	133	57
03028	191	82	65	44
03029	226	109	55	62
03030	244	100	81	63
03031	276	106	88	82
03032	263	69	138	56
03033	219	48	115	56
03034	298	89	158	51
03035	85	31	40	14
03036	132	61	38	33
03037	195	78	60	57
03038	271	135	79	57
03039	306	83	156	67
03040	274	119	93	62
03041	229	78	93	58
04001	379	53	256	70
04002	288	54	167	67
04003	220	100	60	60
04004	354	138	132	84
04005	290	115	106	69
04006	359	162	124	73
04007	392	166	138	88
04008	336	130	125	81
04009	407	157	175	75
04010	350	139	131	80
04011	243	101	91	51
04012	296	106	118	72
04013	181	22	123	36
04014	305	118	124	63
04015	336	135	116	85
04016	323	64	197	62
04017	301	54	168	79
04018	297	131	109	57
04019	186	98	51	37
04020	266	66	149	51
04021	259	57	151	51
04022	294	64	188	42
04023	420	84	267	69
04024	268	71	145	52
04025	266	45	166	55
04026	268	141	84	43
04027	349	78	205	66
04028	236	106	74	56
04029	238	87	85	66
04030	305	146	90	69
04031	373	141	163	69
04032	289	124	106	59
04033	293	116	120	57
04034	270	108	100	62
04035	340	148	137	55
04036	336	117	145	74
04037	362	66	223	73
04038	333	130	129	74
05001	201	77	75	49
05002	162	65	65	32
05003	262	52	181	29
05004	320	104	156	60
05005	231	101	72	58
05006	211	90	74	47
05007	268	98	105	65
05008	313	36	249	28
05009	339	76	226	37
05010	189	87	55	47
05011	324	78	190	56
05012	162	61	62	39
05013	206	83	68	55
05014	259	83	118	58
05015	238	66	126	46
05016	211	87	73	51
05017	194	95	52	47
05018	262	57	157	48
05019	312	38	240	34
05020	328	82	174	72
05021	264	52	163	49
05022	360	78	226	56
05023	478	88	320	70
05024	300	58	188	54
05025	275	87	145	43
05026	264	121	91	52
05027	251	24	194	33
05028	309	105	146	58
05029	269	111	101	57
05030	175	75	49	51
05031	191	74	88	29
05032	337	118	145	74
05033	285	143	76	66
05034	303	21	253	29
05035	316	51	216	49
05036	137	80	29	28
05037	338	71	226	41
05038	230	89	81	60
05039	252	46	187	19
05040	196	85	64	47
05041	195	54	120	21
06001	273	104	119	50
06002	231	102	89	40
06003	264	124	83	57
06004	144	60	52	32
06005	116	60	30	26
06006	246	102	90	54
06007	211	100	60	51
06008	227	101	86	40
06009	161	84	43	34
06010	117	45	38	34
06011	175	83	51	41
06012	130	54	40	36
06013	159	82	50	27
06014	221	105	71	45
06015	140	59	47	34
06016	263	108	97	58
06017	130	65	45	20
06018	121	56	33	32
06019	181	81	63	37
06020	111	55	26	30
06021	99	48	20	31
06022	118	52	37	29
06023	79	33	28	18
06024	111	46	39	26
06025	107	51	28	28
06026	130	51	47	32
06027	99	47	25	27
06028	93	51	20	22
06029	268	128	85	55
06030	150	63	54	33
06031	279	113	111	55
06032	220	94	87	39
06033	211	86	78	47
06034	233	112	72	49
06035	222	97	80	45
06036	286	137	85	64
06037	286	114	114	58
06038	251	104	86	61
06039	174	85	50	39
06040	189	86	53	50
06041	228	109	72	47
06042	180	81	60	39
06043	184	72	71	41
06044	182	90	50	42
06045	228	93	79	56
06046	136	60	42	34
06047	151	76	42	33
06048	213	99	79	35
07001	186	79	63	44
07002	165	70	58	37
07003	260	108	96	56
07004	225	102	76	47
07005	172	72	61	39
07006	258	91	110	57
07007	174	81	47	46
07008	165	72	54	39
07009	360	149	137	74
07010	237	109	88	40
07011	171	61	66	44
07012	178	67	59	52
07013	143	61	53	29
07014	202	83	78	41
07015	216	93	87	36
07016	157	73	45	39
07017	150	58	54	38
07018	164	58	67	39
07019	215	102	70	43
07020	137	63	49	25
07021	160	82	48	30
07022	174	67	61	46
07023	259	119	78	62
07024	170	78	44	48
07025	127	63	35	29
07026	177	86	54	37
07027	179	90	62	27
07028	128	62	41	25
07029	165	67	68	30
07030	134	64	37	33
07031	106	51	36	19
07032	354	152	140	62
07033	345	168	120	57
07034	266	105	94	67
07035	215	88	68	59
07036	278	113	98	67
07037	230	102	74	54
07038	178	80	55	43
07039	193	88	65	40
07040	178	91	51	36
07041	189	100	43	46
07042	198	105	56	37
07043	203	89	67	47
07044	150	65	51	34
07045	154	70	52	32
07046	117	64	30	23
08001	177	77	54	46
08002	187	88	54	45
08003	293	141	106	46
08004	276	126	104	46
08005	284	118	109	57
08006	233	127	68	38
08007	292	121	118	53
08008	261	135	90	36
08009	176	76	50	50
08010	347	139	141	67
