Precinct	total_votes	votes|Richard R. Boykin	votes|Brandon Johnson
01012	72	30	42
01032	169	70	99
26028	207	113	94
26032	150	73	77
27003	107	66	41
27004	99	52	47
27005	136	74	62
27008	124	63	61
27015	87	46	41
27019	83	45	38
27022	105	57	48
27023	147	80	67
27024	103	54	49
27026	158	90	68
27029	102	53	49
27031	156	71	85
27034	146	76	70
27036	144	67	77
27043	16	7	9
27044	117	60	57
28001	103	55	48
28002	136	56	80
28003	118	52	66
28007	138	68	70
28009	89	39	50
28012	157	98	59
28013	164	70	94
28014	142	78	64
28015	47	24	23
28017	66	27	39
28020	146	89	57
28021	136	51	85
28022	140	45	95
28023	171	77	94
28024	132	63	69
28025	235	102	133
28026	166	76	90
28031	278	145	133
28033	178	98	80
28036	48	25	23
28037	200	87	113
28038	71	33	38
28039	104	61	43
28040	134	71	63
28041	121	58	63
28042	167	71	96
28043	194	88	106
28044	117	67	50
29001	316	131	185
29002	199	109	90
29003	201	105	96
29004	254	147	107
29005	145	75	70
29006	24	12	12
29007	239	102	137
29008	139	78	61
29009	256	90	166
29010	289	108	181
29011	128	74	54
29012	259	133	126
29013	215	132	83
29014	200	142	58
29015	253	136	117
29016	233	128	105
29017	217	93	124
29018	211	124	87
29019	226	153	73
29020	249	153	96
29021	227	137	90
29022	173	95	78
29023	198	94	104
29024	213	91	122
29025	269	139	130
29026	231	129	102
29027	189	93	96
29028	257	166	91
29029	152	82	70
29030	281	151	130
29031	134	76	58
29032	103	61	42
29033	198	101	97
29034	111	62	49
29035	156	87	69
29036	189	92	97
29037	212	135	77
29038	142	79	63
29039	153	86	67
29040	250	140	110
29041	153	89	64
29042	213	145	68
29043	284	110	174
29044	261	162	99
36001	139	76	63
36003	133	64	69
36004	77	33	44
36007	204	111	93
36010	161	85	76
36019	156	84	72
36024	26	15	11
36026	109	53	56
36027	144	83	61
36028	106	62	44
36029	152	87	65
37001	129	79	50
37002	109	59	50
37003	114	62	52
37004	119	53	66
37005	200	88	112
37006	178	84	94
37007	111	57	54
37008	111	52	59
37009	184	93	91
37010	184	93	91
37011	105	62	43
37012	100	44	56
37013	126	76	50
37014	194	98	96
37015	182	113	69
37016	186	108	78
37017	149	91	58
37018	169	102	67
37019	131	69	62
37020	137	77	60
37021	166	78	88
37022	128	66	62
37023	185	93	92
37024	195	103	92
37025	166	102	64
37026	235	128	107
37027	174	111	63
37028	141	72	69
37029	166	73	93
37030	158	102	56
37031	171	86	85
37032	173	88	85
37033	223	137	86
37034	151	87	64
37035	210	110	100
37036	154	92	62
37037	236	149	87
37038	220	110	110
37039	153	91	62
37040	208	121	87
37041	161	83	78
Oak Park 1	289	125	164
Oak Park 2	474	204	270
Oak Park 3	528	220	308
Oak Park 4	402	198	204
Oak Park 5	469	205	264
Oak Park 6	423	200	223
Oak Park 7	288	114	174
Oak Park 8	443	155	288
Oak Park 9	238	85	153
Oak Park 10	438	160	278
Oak Park 11	349	134	215
Oak Park 12	188	79	109
Oak Park 13	377	146	231
Oak Park 14	435	171	264
Oak Park 15	518	223	295
Oak Park 16	598	214	384
Oak Park 17	560	217	343
Oak Park 18	318	117	201
Oak Park 19	371	193	178
Oak Park 20	483	231	252
Oak Park 21	244	103	141
Oak Park 22	229	107	122
Oak Park 23	343	154	189
Oak Park 24	292	136	156
Oak Park 25	368	125	243
Oak Park 26	373	148	225
Oak Park 27	119	62	57
Oak Park 28	408	184	224
Oak Park 29	381	174	207
Oak Park 30	473	217	256
Oak Park 31	639	234	405
Oak Park 32	280	125	155
Oak Park 33	344	131	213
Oak Park 34	304	144	160
Oak Park 35	445	207	238
Oak Park 36	477	224	253
Oak Park 37	219	123	96
Proviso 4	244	125	119
Proviso 5	254	144	110
Proviso 8	156	91	65
Proviso 9	234	118	116
Proviso 17	146	71	75
Proviso 18	306	189	117
Proviso 19	223	114	109
Proviso 20	222	121	101
Proviso 22	225	135	90
Proviso 31	145	78	67
Proviso 33	300	152	148
Proviso 34	457	228	229
Proviso 36	267	152	115
Proviso 37	174	96	78
Proviso 38	236	126	110
Proviso 39	130	64	66
Proviso 40	265	153	112
Proviso 41	201	109	92
Proviso 42	194	108	86
Proviso 43	187	100	87
Proviso 44	183	96	87
Proviso 45	237	119	118
Proviso 47	150	74	76
Proviso 48	265	131	134
Proviso 50	308	149	159
Proviso 51	85	49	36
Proviso 52	158	97	61
Proviso 53	224	118	106
Proviso 56	228	136	92
Proviso 58	151	78	73
Proviso 59	168	87	81
Proviso 61	275	135	140
Proviso 62	338	189	149
Proviso 64	267	123	144
Proviso 65	198	89	109
Proviso 66	313	164	149
Proviso 67	361	170	191
Proviso 68	153	74	79
Proviso 69	207	99	108
Proviso 72	254	114	140
Proviso 73	244	113	131
Proviso 74	281	121	160
Proviso 76	281	115	166
Proviso 79	237	130	107
Proviso 81	76	42	34
Proviso 82	360	222	138
Proviso 83	309	163	146
Proviso 86	269	129	140
Proviso 92	133	55	78
Proviso 94	218	115	103
Proviso 99	238	124	114
