Precinct	total_votes	votes|Maria M. Barlow	votes|Stanley S. Moore	votes|Marcel Bright	votes|Gaylon Alcaraz
06001	250	68	146	26	10
06002	218	72	121	16	9
06003	251	64	145	29	13
06008	209	60	118	18	13
06013	154	48	84	17	5
06014	207	69	116	17	5
06016	41	15	19	5	2
06019	30	8	17	4	1
06029	261	99	114	31	17
06031	268	91	120	39	18
06034	221	86	105	25	5
06035	203	49	122	24	8
06036	278	98	141	30	9
06037	269	90	133	31	15
06038	246	100	109	31	6
06041	213	73	108	22	10
06042	178	58	88	25	7
06043	29	8	20	1	0
06044	173	66	78	18	11
06045	218	74	110	27	7
06046	134	48	68	17	1
07001	175	56	85	23	11
07002	160	62	69	23	6
07003	254	87	128	30	9
07004	215	66	121	17	11
07005	167	61	69	23	14
07006	248	94	109	33	12
07007	166	66	82	10	8
07008	164	60	76	17	11
07009	350	180	124	27	19
07010	222	84	108	22	8
07011	164	62	71	23	8
07012	172	72	78	17	5
07013	138	65	45	19	9
07014	199	89	92	11	7
07015	209	80	100	22	7
07016	152	56	73	15	8
07017	154	67	72	14	1
07018	155	57	61	19	18
07019	214	81	94	32	7
07020	139	54	70	9	6
07021	150	58	62	18	12
07022	169	68	66	17	18
07023	238	81	129	21	7
07024	165	54	86	19	6
07025	130	48	56	14	12
07026	173	77	68	18	10
07027	181	81	88	11	1
07028	127	44	62	9	12
07029	164	71	70	18	5
07030	136	64	52	14	6
07031	106	47	43	7	9
07032	346	137	154	47	8
07033	337	112	193	25	7
07034	270	127	115	23	5
07035	207	107	72	19	9
07036	273	109	120	34	10
07037	233	96	107	19	11
07038	172	56	87	24	5
07039	191	58	103	21	9
07040	175	50	101	18	6
07041	187	67	99	17	4
07042	195	78	90	23	4
07043	190	75	89	18	8
07044	143	66	57	15	5
07045	155	65	69	12	9
07046	113	50	49	5	9
08003	287	95	141	38	13
08004	279	80	155	32	12
08005	283	90	129	53	11
08006	237	70	146	13	8
08007	288	83	161	20	24
08008	259	82	133	34	10
08009	20	4	15	1	0
08010	343	107	160	66	10
08011	190	59	103	25	3
08012	187	73	79	33	2
08015	188	75	87	18	8
08017	215	75	111	22	7
08019	290	94	148	34	14
08022	203	64	112	18	9
08023	178	53	103	16	6
08024	155	48	82	19	6
08025	196	59	109	18	10
08027	264	106	108	33	17
08028	63	29	25	6	3
08029	267	85	152	22	8
08030	217	75	111	22	9
08031	172	59	95	14	4
08032	172	50	84	16	22
08033	220	53	102	62	3
08034	214	70	116	16	12
08035	254	37	120	89	8
08036	244	67	138	26	13
08037	209	64	89	42	14
08038	135	42	67	19	7
08039	218	60	109	23	26
08040	175	75	77	15	8
08041	217	84	99	22	12
08044	137	45	82	8	2
08046	164	65	73	21	5
08047	178	51	108	14	5
08048	186	69	81	25	11
08049	212	70	110	26	6
08050	247	81	141	20	5
08051	265	99	121	36	9
08052	314	105	144	58	7
08053	125	29	69	22	5
08056	259	67	127	62	3
09001	147	60	71	14	2
09002	151	56	74	16	5
09008	179	63	82	20	14
09010	155	45	85	16	9
09012	254	117	114	15	8
09017	53	24	23	4	2
09020	224	91	101	24	8
09021	168	63	85	15	5
09023	257	107	117	22	11
09024	202	60	116	20	6
09025	202	75	96	19	12
09027	173	54	103	12	4
09030	146	53	77	13	3
09036	177	62	95	16	4
09037	264	107	94	28	35
09042	224	61	130	22	11
09046	34	9	13	3	9
09047	252	103	112	17	20
09048	228	88	115	20	5
09049	210	75	105	20	10
09050	313	97	168	29	19
09051	220	65	130	18	7
10001	161	49	64	20	28
10002	153	55	47	20	31
10003	134	58	45	10	21
10004	123	53	41	5	24
10005	105	42	26	7	30
10006	117	37	30	6	44
10007	93	48	13	5	27
10008	81	30	33	8	10
10009	121	60	22	15	24
10010	147	59	30	6	52
10011	157	70	27	6	54
10012	87	43	9	3	32
10013	148	59	35	12	42
10014	167	64	29	6	68
10015	396	163	168	51	14
10016	102	49	23	10	20
10017	195	77	55	16	47
10018	89	37	26	4	22
10019	131	57	20	8	46
10020	143	64	32	11	36
10021	110	54	19	4	33
10022	82	32	15	3	32
10023	116	43	23	5	45
10024	126	45	45	6	30
10025	51	21	13	4	13
10026	97	48	24	2	23
10027	144	46	57	14	27
10028	150	66	41	7	36
10029	115	38	19	11	47
10030	127	63	18	8	38
10031	98	39	20	8	31
10032	127	53	29	9	36
10033	104	44	20	10	30
10034	87	37	31	5	14
10035	158	67	34	10	47
10036	42	16	12	6	8
18019	12	6	5	1	0
18032	229	84	122	15	8
21001	236	59	147	21	9
21002	151	47	89	10	5
21003	239	64	148	23	4
21005	253	55	168	20	10
21006	162	47	95	10	10
21007	237	74	143	16	4
21008	232	85	134	9	4
21009	254	68	170	10	6
21010	188	56	114	13	5
21011	199	62	118	12	7
21012	181	55	108	13	5
21013	197	57	116	21	3
21014	281	38	226	13	4
21016	193	50	127	13	3
21017	166	55	95	15	1
21018	233	62	144	19	8
21019	224	65	142	11	6
21020	160	51	96	10	3
21021	191	68	103	15	5
21022	194	56	119	8	11
21023	190	48	121	17	4
21024	225	67	140	12	6
21025	207	66	108	22	11
