Precinct	total_votes	votes|Danny K. Davis	votes|Anthony V. Clark
01012	252	129	123
01014	48	24	24
01015	43	28	15
01032	62	38	24
02002	185	118	67
02009	144	97	47
02010	176	122	54
02011	229	150	79
02012	135	106	29
02013	201	130	71
02014	218	127	91
02017	271	172	99
02018	191	135	56
02019	156	97	59
02020	26	16	10
02021	6	4	2
02023	158	99	59
02027	171	110	61
02028	30	16	14
02029	195	124	71
02032	149	81	68
02034	225	163	62
02035	188	110	78
02036	156	109	47
02038	133	85	48
02039	125	75	50
02040	197	124	73
02041	133	90	43
02042	163	99	64
02043	200	131	69
02045	211	147	64
02046	110	71	39
03001	350	296	54
03002	365	318	47
03003	232	178	54
03004	141	113	28
03005	132	112	20
03006	257	158	99
03008	197	168	29
03009	258	203	55
03010	128	121	7
03011	251	197	54
03012	302	256	46
03013	293	189	104
03014	222	148	74
03015	233	199	34
03016	223	190	33
03017	255	184	71
03018	190	160	30
03019	249	171	78
03020	264	220	44
03021	312	244	68
03022	249	161	88
03023	172	146	26
03024	241	204	37
03025	363	248	115
03026	336	249	87
03027	263	174	89
03028	191	169	22
03029	244	202	42
03030	123	104	19
03031	282	233	49
03032	262	195	67
03033	221	130	91
03034	293	193	100
03035	6	5	1
03036	136	116	20
03037	208	167	41
03039	297	182	115
03040	270	222	48
04002	284	184	100
04004	331	279	52
04005	301	234	67
04006	380	317	63
04007	403	330	73
04008	39	34	5
04010	366	285	81
04011	147	130	17
04013	174	97	77
04014	42	39	3
04015	96	70	26
04016	313	207	106
04017	295	168	127
04020	258	165	93
04021	251	162	89
04022	11	9	2
04025	263	176	87
04028	169	137	32
04029	72	59	13
04030	38	27	11
04034	271	222	49
04035	356	286	70
04036	155	125	30
04037	352	214	138
06021	98	85	13
11002	16	13	3
11006	252	146	106
11007	172	113	59
11014	82	54	28
11030	99	63	36
11033	201	125	76
11034	81	45	36
11035	51	36	15
11036	76	42	34
11037	47	38	9
12010	33	20	13
12015	99	70	29
12018	8	5	3
15002	107	89	18
15003	114	94	20
15007	111	85	26
15013	14	10	4
15014	21	10	11
15016	2	1	1
15017	152	132	20
15018	95	85	10
15020	115	98	17
15021	124	110	14
15022	115	90	25
15023	134	114	20
15024	110	98	12
16002	157	129	28
16003	112	97	15
16004	123	104	19
16005	104	84	20
16006	145	123	22
16007	125	99	26
16008	92	72	20
16009	13	11	2
16010	120	102	18
16011	112	91	21
16012	106	90	16
16013	108	80	28
16014	115	98	17
16015	153	128	25
16016	156	141	15
16017	131	96	35
16018	128	110	18
16019	113	88	25
16020	125	104	21
16021	118	95	23
16022	113	105	8
16023	9	5	4
16024	80	70	10
16025	165	135	30
16026	135	117	18
16027	121	101	20
16029	115	94	21
16031	131	121	10
16033	123	99	24
16034	85	74	11
16035	113	71	42
16036	112	94	18
17006	87	71	16
17007	112	82	30
17008	0	0	0
17012	171	117	54
17013	161	139	22
17014	182	131	51
17016	42	31	11
17019	108	87	21
17025	3	3	0
17031	102	91	11
17033	54	40	14
17035	107	90	17
17036	32	27	5
20002	76	65	11
20004	61	51	10
20006	79	69	10
20011	162	128	34
20015	50	34	16
20017	91	73	18
20020	109	69	40
20021	108	84	24
20025	130	111	19
20027	23	18	5
20030	91	74	17
20031	160	130	30
20032	156	140	16
20036	59	48	11
20037	0	0	0
20038	63	50	13
20039	18	17	1
22014	70	51	19
22015	7	2	5
22019	37	31	6
22021	188	168	20
23017	31	22	9
23019	45	28	17
23031	53	30	23
24001	151	131	20
24002	146	133	13
24003	144	125	19
24004	119	104	15
24005	81	72	9
24006	163	143	20
24007	92	48	44
24008	79	70	9
24009	124	100	24
24010	73	65	8
24011	158	135	23
24012	87	70	17
24013	64	58	6
24014	131	117	14
24015	69	65	4
24016	71	51	20
24017	132	115	17
24018	171	156	15
24019	200	176	24
24020	118	106	12
24021	67	55	12
24022	191	162	29
24023	121	99	22
24024	178	151	27
24025	122	116	6
24026	267	243	24
24027	169	141	28
24028	129	111	18
24029	131	114	17
24030	96	82	14
24031	173	151	22
24032	89	75	14
24033	86	74	12
24034	139	122	17
24035	124	109	15
24036	198	165	33
24037	92	86	6
24038	143	118	25
24039	196	163	33
24040	158	139	19
24041	134	117	17
25003	198	105	93
25004	173	122	51
25006	63	51	12
25010	203	126	77
25014	88	65	23
25016	173	97	76
25018	96	67	29
25020	135	108	27
25021	305	182	123
25025	165	111	54
25027	152	89	63
25029	197	151	46
25031	191	123	68
26001	89	46	43
26003	180	97	83
26004	96	65	31
26010	105	71	34
26017	113	56	57
26019	94	68	26
26021	173	106	67
26027	82	44	38
26028	95	52	43
26033	157	95	62
26036	86	46	40
26039	82	48	34
26045	7	6	1
26046	89	48	41
27001	178	110	68
27002	195	142	53
27003	114	94	20
27004	104	69	35
27005	144	123	21
27006	160	113	47
27008	129	96	33
27009	81	54	27
27010	241	214	27
27011	145	92	53
27013	215	188	27
27014	89	76	13
27015	94	77	17
27016	113	66	47
27017	167	140	27
27018	137	108	29
27019	78	64	14
27020	97	75	22
27021	134	94	40
27022	117	99	18
27023	157	139	18
27024	101	84	17
27025	173	123	50
27026	172	145	27
27027	173	135	38
27028	96	69	27
27029	101	85	16
27030	102	88	14
27031	167	139	28
27032	157	115	42
27033	147	102	45
27034	148	135	13
27035	155	98	57
27036	145	116	29
27037	208	172	36
27038	296	219	77
27039	158	133	25
27040	163	110	53
27041	201	182	19
27042	78	70	8
27043	109	91	18
27044	119	102	17
27045	233	149	84
27047	157	135	22
27048	242	180	62
27049	135	116	19
27050	184	160	24
28001	111	95	16
28002	138	111	27
28003	130	113	17
28004	99	57	42
28005	121	103	18
28006	111	84	27
28007	144	130	14
28008	119	75	44
28009	152	126	26
28010	204	149	55
28011	242	143	99
28012	159	142	17
28013	173	153	20
28014	147	131	16
28015	50	47	3
28016	101	84	17
28017	121	104	17
28018	144	123	21
28019	141	97	44
28020	155	128	27
28021	138	119	19
28022	145	120	25
28023	172	156	16
28024	136	115	21
28025	249	221	28
28026	169	149	20
28027	155	101	54
28028	200	128	72
28029	67	57	10
28030	38	37	1
28031	272	229	43
28032	150	128	22
28033	181	157	24
28034	220	191	29
28035	162	148	14
28036	83	74	9
28037	195	170	25
28038	76	68	8
28039	104	89	15
28040	204	182	22
28041	120	102	18
28042	170	144	26
28043	197	169	28
28044	119	108	11
28045	122	78	44
28046	249	159	90
29001	298	213	85
29002	297	258	39
29003	201	162	39
29004	256	225	31
29005	150	129	21
29006	171	151	20
29007	242	187	55
29008	139	115	24
29009	3	2	1
29010	287	176	111
29011	133	108	25
29012	262	215	47
29013	216	193	23
29014	197	171	26
29015	255	213	42
29016	232	160	72
29017	214	186	28
29018	219	175	44
29019	233	181	52
29020	253	208	45
29021	233	205	28
29022	170	132	38
29024	208	171	37
29025	278	223	55
29026	241	192	49
29027	191	155	36
29028	258	213	45
29033	202	167	35
29034	113	81	32
29035	160	130	30
29036	195	155	40
29037	218	181	37
29040	260	222	38
29041	155	129	26
29042	217	197	20
29043	186	130	56
29044	269	227	42
36005	125	81	44
36021	80	56	24
37001	142	102	40
37002	114	85	29
37003	118	96	22
37004	125	101	24
37005	207	174	33
37006	179	152	27
37007	118	87	31
37008	120	98	22
37009	190	159	31
37010	181	147	34
37011	108	94	14
37012	103	81	22
37013	129	109	20
37014	196	172	24
37015	195	176	19
37016	184	149	35
37017	157	137	20
37018	178	151	27
37019	140	114	26
37020	135	123	12
37021	168	144	24
37022	130	105	25
37023	188	160	28
37024	200	173	27
37025	168	146	22
37026	228	197	31
37027	178	154	24
37028	152	121	31
37029	177	136	41
37030	167	141	26
37031	177	148	29
37032	175	147	28
37033	218	192	26
37034	156	137	19
37035	211	178	33
37036	154	135	19
37037	230	195	35
37038	222	192	30
37039	160	135	25
37040	206	178	28
37041	165	141	24
42001	209	156	53
42002	150	101	49
42003	196	125	71
42004	257	166	91
42005	141	87	54
42006	280	182	98
42007	226	149	77
42008	206	136	70
42009	181	101	80
42010	229	146	83
42011	144	101	43
42012	206	126	80
42013	243	162	81
42014	158	100	58
42015	134	86	48
42016	197	132	65
42017	234	148	86
42018	127	77	50
42019	246	171	75
42020	132	75	57
42021	151	87	64
42022	84	53	31
42023	181	116	65
42024	188	132	56
42025	152	88	64
42026	190	120	70
42027	173	120	53
42028	258	176	82
42029	177	99	78
42030	199	121	78
42031	190	129	61
42032	119	75	44
42033	206	125	81
42034	173	113	60
42035	267	170	97
42036	239	134	105
42037	106	70	36
42038	141	97	44
42039	164	103	61
42040	215	133	82
42041	173	111	62
42042	250	159	91
43001	120	86	34
43005	20	13	7
43009	26	18	8
43033	233	155	78
43035	256	172	84
43045	133	86	47
Berwyn Ward 6 Precinct 2	144	81	63
Berwyn Ward 6 Precinct 3	69	54	15
Berwyn Ward 6 Precinct 4	45	31	14
Berwyn Ward 7 Precinct 1	157	104	53
Berwyn Ward 7 Precinct 2	183	121	62
Berwyn Ward 7 Precinct 3	206	121	85
Berwyn Ward 7 Precinct 4	215	124	91
Berwyn Ward 8 Precinct 1	277	149	128
Berwyn Ward 8 Precinct 2	1	0	1
Oak Park 1	317	135	182
Oak Park 2	500	204	296
Oak Park 3	565	229	336
Oak Park 4	434	179	255
Oak Park 5	507	218	289
Oak Park 6	437	226	211
Oak Park 7	320	116	204
Oak Park 8	454	135	319
Oak Park 9	253	109	144
Oak Park 10	449	150	299
Oak Park 11	364	163	201
Oak Park 12	201	78	123
Oak Park 13	394	172	222
Oak Park 14	459	204	255
Oak Park 15	523	266	257
Oak Park 16	618	264	354
Oak Park 17	612	235	377
Oak Park 18	342	139	203
Oak Park 19	404	215	189
Oak Park 20	505	260	245
Oak Park 21	257	141	116
Oak Park 22	247	130	117
Oak Park 23	375	180	195
Oak Park 24	311	119	192
